unix_timestamp	Accel._X	Accel._Y	Accel._Z	Gyro_Phi	Gyro_Psi	Gyro_Theta	vis._rot_r1	vis._rot_r2	vis._rot_r3	vis._rot_r4	vis._rot_r5	vis._rot_r6	vis._rot_r7	vis._rot_r8	vis._rot_r9	vis._x	vis._y	vis._z	
1274188806476	 	 	 	 	 	 	0.994797	0.0666115	0.0770873	-0.0854003	0.957808	0.274428	-0.0555548	-0.279583	0.958513	0.227619	0.0599245	-0.290407	
1274188806490	22	265	-1010	30095	29764	29966	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806495	34	261	-1010	30113	29571	29951	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806500	45	257	-1015	30099	29575	30016	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806505	52	258	-1017	30067	29575	30017	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806508	 	 	 	 	 	 	0.994971	0.0590032	0.0809463	-0.0796892	0.955873	0.282766	-0.0606903	-0.287795	0.955767	0.226705	0.0575551	-0.308907	
1274188806510	58	257	-1013	30103	29551	30021	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806515	61	260	-1011	30095	29678	30023	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806520	64	262	-1004	30099	29551	30023	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806525	70	266	-1001	30067	29575	30007	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806530	75	275	-993	30080	29519	29960	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806535	82	282	-984	30067	29591	29943	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806540	90	291	-975	30065	29603	29939	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806542	 	 	 	 	 	 	0.995026	0.0500003	0.086161	-0.0736465	0.951641	0.298254	-0.0670816	-0.303115	0.95059	0.225539	0.0522544	-0.327921	
1274188806545	97	298	-972	30071	29583	29911	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806550	101	305	-967	30067	29633	29888	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806555	103	311	-963	30031	29679	29824	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806560	102	307	-961	30094	29820	29756	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806565	101	302	-958	30051	29655	29815	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806570	90	296	-960	30084	29881	29724	 	 	 	 	 	 	 	 	 	 	 	 	
1274188806574	 	 	 	 	 	 	0.995902	0.0432132	0.0794473	-0.0659376	0.94818	0.310817	-0.061899	-0.314781	0.947144	0.226733	0.0477626	-0.347291	
