unix_timestamp	Accel._X	Accel._Y	Accel._Z	Gyro_Phi	Gyro_Psi	Gyro_Theta	vis._rot_r1	vis._rot_r2	vis._rot_r3	vis._rot_r4	vis._rot_r5	vis._rot_r6	vis._rot_r7	vis._rot_r8	vis._rot_r9	vis._x	vis._y	vis._z	
1274188837693	 	 	 	 	 	 	0.658296	0.0780117	-0.748706	-0.0674145	0.996729	0.0445807	0.749735	0.0211264	0.661401	0.759794	0.12819	-0.197155	
1274188837694	-130	53	-992	29775	29966	30119	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837699	-131	53	-992	29775	29966	30127	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837704	-132	51	-993	29779	29967	30135	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837709	-131	50	-986	29774	30094	30095	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837714	-128	48	-987	29779	29975	30145	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837719	-126	46	-987	29767	29967	30149	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837724	-126	44	-985	29777	29943	30147	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837726	 	 	 	 	 	 	0.648333	0.081246	-0.75701	-0.0706255	0.996421	0.0464543	0.758074	0.0233463	0.65175	0.766187	0.127834	-0.182544	
1274188837729	-125	43	-983	29756	30152	30144	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837734	-126	45	-986	29763	29975	30151	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837739	-130	50	-987	29751	29967	30147	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837744	-130	50	-987	29726	29967	30108	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837749	-127	52	-987	29727	30009	30076	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837754	-126	51	-988	29763	29943	30135	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837758	 	 	 	 	 	 	0.663553	0.0853616	-0.743243	-0.0738304	0.996091	0.0484868	0.744477	0.0227004	0.667262	0.773036	0.126767	-0.184394	
1274188837759	-130	48	-988	29726	30009	30100	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837764	-127	50	-990	29711	30111	30094	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837769	-128	48	-990	29760	30140	30090	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837775	-128	50	-993	29747	29991	30135	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837780	-131	50	-995	29774	30140	30092	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837785	-131	50	-993	29763	29975	30135	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837790	-132	47	-995	29711	30110	30094	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837791	 	 	 	 	 	 	0.63271	0.0812352	-0.770116	-0.0775624	0.99613	0.0413525	0.770495	0.0335679	0.636562	0.782097	0.130113	-0.158731	
1274188837795	-132	47	-994	29747	29975	30147	 	 	 	 	 	 	 	 	 	 	 	 	
1274188837800	-134	48	-991	29747	29943	30147	 	 	 	 	 	 	 	 	 	 	 	 	
