unix_timestamp	Accel._X	Accel._Y	Accel._Z	Gyro_Phi	Gyro_Psi	Gyro_Theta	vis._rot_r1	vis._rot_r2	vis._rot_r3	vis._rot_r4	vis._rot_r5	vis._rot_r6	vis._rot_r7	vis._rot_r8	vis._rot_r9	vis._x	vis._y	vis._z	
1274188872717	1	-20	-1001	29753	29819	29881	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872722	2	-20	-998	29774	30012	29836	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872727	1	-18	-1002	29775	29966	29839	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872732	0	-20	-1003	29763	29847	29879	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872734	 	 	 	 	 	 	0.999185	-0.0368045	0.0165882	0.0371102	0.99914	-0.0185085	-0.0158927	0.019109	0.999691	0.17681	0.166112	-0.0914889	
1274188872737	2	-18	-1001	29775	29960	29871	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872742	1	-17	-1002	29757	29873	29881	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872747	0	-18	-1001	29774	30012	29848	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872752	2	-18	-1000	29753	29823	29881	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872757	2	-21	-1002	29767	29829	29871	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872762	1	-21	-1002	29777	29830	29891	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872766	 	 	 	 	 	 	0.999217	-0.0362976	0.0157222	0.0366238	0.999109	-0.0209843	-0.0149465	0.0215437	0.999656	0.176914	0.166353	-0.0914075	
1274188872767	1	-20	-1001	29763	29839	29879	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872772	0	-20	-1002	29776	29859	29819	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872777	-1	-21	-1001	29756	30009	29840	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872782	1	-22	-998	29757	29873	29821	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872787	2	-18	-1001	29772	29774	29871	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872792	1	-18	-1000	29758	30013	29848	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872798	0	-21	-997	29767	29829	29871	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872799	 	 	 	 	 	 	0.999202	-0.0365074	0.0162037	0.0368327	0.999116	-0.0202485	-0.0154502	0.0208291	0.999664	0.176859	0.166284	-0.0914139	
1274188872803	-1	-20	-1001	29776	29843	29888	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872808	-2	-21	-1002	29775	29982	29838	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872813	0	-20	-1001	29779	29843	29875	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872818	1	-20	-1001	29772	29982	29838	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872823	0	-17	-1004	29753	29823	29881	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872828	1	-18	-1000	29775	29774	29871	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872831	 	 	 	 	 	 	0.999231	-0.036543	0.0142379	0.036846	0.999087	-0.021638	-0.0134342	0.022146	0.999664	0.17705	0.166411	-0.0914495	
1274188872833	0	-20	-1003	29756	29881	29820	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872838	-1	-18	-998	29774	29982	29838	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872843	3	-21	-1003	29753	29819	29821	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872848	3	-20	-1001	29753	29819	29823	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872853	2	-18	-1002	29777	29847	29875	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872858	0	-20	-1000	29758	30012	29836	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872863	0	-21	-1001	29777	29857	29819	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872864	 	 	 	 	 	 	0.999187	-0.0368983	0.0162201	0.037197	0.999136	-0.018514	-0.0155229	0.0191023	0.999697	0.17685	0.16611	-0.0914916	
1274188872868	-2	-22	-998	29774	30012	29836	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872873	0	-20	-1000	29771	29775	29871	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872878	1	-17	-1002	29753	29859	29819	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872883	1	-18	-1001	29775	30016	29838	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872888	1	-20	-1001	29775	29828	29890	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872893	0	-21	-1000	29758	29881	29817	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872896	 	 	 	 	 	 	0.999215	-0.0363932	0.0156569	0.0367118	0.999114	-0.0205707	-0.0148944	0.0211294	0.999666	0.176918	0.166312	-0.0914362	
1274188872898	2	-20	-998	29779	30012	29836	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872903	0	-20	-998	29777	29859	29875	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872908	0	-20	-1000	29795	29831	29871	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872913	-2	-17	-1000	29753	29859	29875	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872918	0	-18	-1000	29777	29847	29875	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872923	-2	-18	-996	29775	29982	29838	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872928	0	-17	-1001	29788	30013	29840	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872930	 	 	 	 	 	 	0.999208	-0.0365893	0.0156447	0.0369086	0.999106	-0.0206339	-0.0148758	0.021195	0.999665	0.176921	0.16632	-0.0913829	
1274188872933	1	-18	-1001	29774	30012	29844	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872938	-2	-17	-1001	29779	30012	29819	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872943	2	-18	-1003	29758	29881	29820	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872948	2	-18	-1004	29779	29843	29879	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872953	1	-18	-1001	29779	29843	29873	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872958	-2	-17	-1002	29774	30012	29838	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872962	 	 	 	 	 	 	0.999193	-0.0368727	0.0159414	0.0371692	0.999134	-0.018717	-0.0152374	0.0192944	0.999698	0.176883	0.166135	-0.0914772	
1274188872963	1	-20	-1003	29793	29831	29879	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872968	-2	-20	-998	29758	29881	29816	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872973	-2	-16	-1001	29774	29982	29838	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872978	2	-20	-1000	29758	29823	29880	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872983	1	-21	-1000	29775	29966	29839	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872988	0	-21	-1002	29774	29982	29838	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872993	-1	-20	-1003	29792	29847	29879	 	 	 	 	 	 	 	 	 	 	 	 	
1274188872995	 	 	 	 	 	 	0.999192	-0.036933	0.0158299	0.0372204	0.99914	-0.0182647	-0.0151417	0.0188392	0.999708	0.176895	0.166086	-0.0914766	
1274188872998	-1	-21	-1004	29775	29982	29838	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873003	1	-21	-1001	29753	29857	29873	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873008	2	-20	-1000	29759	29823	29881	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873014	2	-20	-998	29775	29827	29871	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873019	1	-22	-1000	29779	29843	29875	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873024	1	-21	-1000	29783	29807	29888	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873027	 	 	 	 	 	 	0.999224	-0.0363542	0.0151675	0.0366419	0.999145	-0.0191468	-0.0144584	0.0196877	0.999702	0.176949	0.166175	-0.0914876	
1274188873029	2	-20	-1002	29775	29966	29890	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873034	0	-20	-1001	29820	29881	29880	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873039	1	-22	-1001	29774	30012	29836	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873044	1	-21	-1002	29783	29831	29879	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873049	2	-20	-1001	29782	29827	29871	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873054	-1	-20	-998	29793	29856	29875	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873059	-1	-17	-998	29775	29982	29838	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873060	 	 	 	 	 	 	0.999233	-0.0360893	0.0151677	0.0363911	0.999135	-0.0201176	-0.0144286	0.0206541	0.999683	0.176966	0.166276	-0.0913889	
1274188873064	1	-17	-1000	29775	29982	29838	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873069	-1	-18	-1001	29783	29831	29879	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873074	2	-18	-1001	29756	29881	29817	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873079	2	-22	-1003	29774	29982	29838	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873084	0	-21	-1002	29777	29859	29875	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873089	1	-18	-1003	29793	29842	29875	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873092	 	 	 	 	 	 	0.999187	-0.0368161	0.0164104	0.0371361	0.999117	-0.0196454	-0.0156727	0.0202389	0.999672	0.176833	0.166219	-0.0914714	
1274188873094	2	-21	-996	29759	29819	29880	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873099	1	-18	-1001	29753	29859	29873	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873104	-3	-21	-998	29779	29831	29879	 	 	 	 	 	 	 	 	 	 	 	 	
1274188873109	1	-20	-998	29816	29823	29881	 	 	 	 	 	 	 	 	 	 	 	 	
