unix_timestamp	att_s.x	att_s.y	att_s.z	att_s_rm.x	att_s_rm.y	att_s_rm.z	
1278346113514	0	0	0	0	0	0	
1278346113713	 	 	 	0	0	0	
1278346113714	0	0	0	 	 	 	
1278346113913	 	 	 	0	0	0	
1278346113914	0	0	0	 	 	 	
1278346114114	 	 	 	0	0	0	
1278346114115	0	0	0	 	 	 	
1278346114313	 	 	 	0	0	0	
1278346114314	0	0	0	 	 	 	
1278346114513	 	 	 	0	0	0	
1278346114514	0	0	0	 	 	 	
1278346114715	 	 	 	0	0	0	
1278346114716	0	0	0	 	 	 	
1278346114914	 	 	 	0	0	0	
1278346114915	0	0	0	 	 	 	
1278346115114	 	 	 	0	0	0	
1278346115115	0	0	0	 	 	 	
1278346115316	0	0	0	0	0	0	
1278346115515	 	 	 	0	0	0	
1278346115516	0	0	0	 	 	 	
1278346115715	 	 	 	0	0	0	
1278346115716	0	0	0	 	 	 	
1278346115916	0	0	0	0	0	0	
1278346116116	0	0	0	0	0	0	
1278346116316	0	0	0	0	0	0	
1278346116516	 	 	 	0	0	0	
1278346116517	0	0	0	 	 	 	
1278346116717	0	0	0	0	0	0	
1278346116917	 	 	 	0	0	0	
1278346116918	0	0	0	 	 	 	
1278346117117	0	0	0	0	0	0	
1278346117317	0	0	0	0	0	0	
1278346117517	 	 	 	0	0	0	
1278346117518	0	0	0	 	 	 	
1278346117717	0	0	0	0	0	0	
1278346117917	0	0	0	0	0	0	
1278346118118	0	0	0	0	0	0	
1278346118317	 	 	 	0	0	0	
1278346118517	0	0	0	0	0	0	
1278346118718	0	0	0	0	0	0	
1278346118917	 	 	 	0	0	0	
1278346118918	0	0	0	 	 	 	
1278346119117	 	 	 	0	0	0	
1278346119118	0	0	0	 	 	 	
1278346119318	 	 	 	0	0	0	
1278346119319	0	0	0	 	 	 	
1278346119519	0	0	0	0	0	0	
1278346119719	0	0	0	 	 	 	
1278346119920	0	0	0	0	0	0	
1278346120119	 	 	 	0	0	0	
1278346120120	0	0	0	 	 	 	
1278346120319	 	 	 	0	0	0	
1278346120320	0	0	0	 	 	 	
1278346120520	 	 	 	0	0	0	
1278346120521	0	0	0	 	 	 	
1278346120720	0	0	0	0	0	0	
1278346120920	0	0	0	0	0	0	
1278346121120	 	 	 	0	0	0	
1278346121121	0	0	0	 	 	 	
1278346121320	 	 	 	0	0	0	
1278346121321	0	0	0	 	 	 	
1278346121520	 	 	 	0	0	0	
1278346121521	0	0	0	 	 	 	
1278346121721	 	 	 	0	0	0	
1278346121722	0	0	0	 	 	 	
1278346121922	0	0	0	0	0	0	
1278346122122	 	 	 	0	0	0	
1278346122123	0	0	0	 	 	 	
1278346122322	 	 	 	0	0	0	
1278346122323	0	0	0	 	 	 	
1278346122522	 	 	 	0	0	0	
1278346122523	0	0	0	 	 	 	
1278346122723	0	0	0	0	0	0	
1278346122923	 	 	 	0	0	0	
1278346122924	0	0	0	 	 	 	
1278346123123	 	 	 	0	0	0	
1278346123124	0	0	0	 	 	 	
1278346123324	0	0	0	0	0	0	
1278346123523	 	 	 	0	0	0	
1278346123524	0	0	0	 	 	 	
1278346123723	 	 	 	0	0	0	
1278346123724	0	0	0	 	 	 	
1278346123924	0	0	0	0	0	0	
1278346124124	0	0	0	0	0	0	
1278346124324	0	0	0	0	0	0	
1278346124524	 	 	 	0	0	0	
1278346124525	0	0	0	 	 	 	
1278346124724	0	0	0	0	0	0	
1278346124924	0	0	0	0	0	0	
1278346125125	0	0	0	0	0	0	
1278346125325	0	0	0	0	0	0	
1278346125524	 	 	 	0	0	0	
1278346125525	0	0	0	 	 	 	
1278346125725	 	 	 	0	0	0	
1278346125726	0	0	0	 	 	 	
1278346125925	 	 	 	0	0	0	
1278346125926	0	0	0	 	 	 	
1278346126125	 	 	 	0	0	0	
1278346126126	0	0	0	 	 	 	
1278346126326	0	0	0	0	0	0	
1278346126526	 	 	 	0	0	0	
1278346126527	0	0	0	 	 	 	
1278346126726	 	 	 	0	0	0	
1278346126727	0	0	0	 	 	 	
1278346126927	0	0	0	0	0	0	
1278346127126	 	 	 	0	0	0	
1278346127127	0	0	0	 	 	 	
1278346127327	0	0	0	0	0	0	
1278346127526	 	 	 	0	0	0	
1278346127527	0	0	0	 	 	 	
1278346127726	 	 	 	0	0	0	
