unix_timestamp	att_sp.x	att_sp.y	att_sp.z	att_sp_po.x	pitch_IMU	roll_IMU	yaw_IMU	
1321010594661	 	 	 	 	-0.014645	0.0444529	2.13433	
1321010594711	 	 	 	0.103349	 	 	 	
1321010594712	-0.017	-0.004	0.1	 	 	 	 	
1321010594862	 	 	 	 	-0.0138758	0.0443858	2.13571	
1321010595215	 	 	 	 	-0.0140461	0.0450576	2.1385	
1321010595316	 	 	 	0.103349	 	 	 	
1321010595617	 	 	 	 	-0.0141903	0.0545142	2.14593	
1321010595718	 	 	 	 	-0.0108745	0.0532558	2.14667	
1321010595768	 	 	 	 	-0.00965897	0.0552497	2.14282	
1321010595869	 	 	 	 	-0.0159545	0.0781583	2.11607	
1321010595970	 	 	 	 	-0.0437652	0.0578102	2.08349	
1321010596071	 	 	 	 	-0.0629454	-0.0545957	2.06265	
1321010596172	 	 	 	 	-0.0905613	-0.125183	2.00619	
1321010596525	 	 	 	 	-0.155966	-0.031626	2.29314	
1321010596575	 	 	 	 	-0.154951	-0.00274955	2.3799	
1321010596726	 	 	 	 	-0.118646	0.156932	2.53929	
1321010596929	 	 	 	0.103349	 	 	 	
1321010597180	 	 	 	 	-0.0529486	1.02062	2.24279	
1321010597583	 	 	 	 	0.151349	1.4162	2.02427	
1321010597684	 	 	 	 	0.0904426	1.48541	2.08349	
1321010597886	 	 	 	 	0.0169361	1.57824	2.15325	
1321010598139	 	 	 	0.103349	 	 	 	
1321010598390	 	 	 	 	0.0547939	1.60213	2.10384	
1321010598744	 	 	 	0.103349	 	 	 	
1321010598995	 	 	 	 	0.0770272	1.6644	2.22352	
1321010599045	 	 	 	 	0.0324554	1.61498	2.27109	
1321010599247	 	 	 	 	-0.0884002	1.4975	2.38693	
1321010599298	 	 	 	 	-0.100297	1.47386	2.39385	
1321010599500	 	 	 	 	-0.104462	1.46878	2.37858	
1321010599650	 	 	 	 	-0.0872403	1.46785	2.34873	
1321010599852	 	 	 	 	-0.0746988	1.41303	2.32177	
1321010600004	 	 	 	 	-0.0992015	1.46078	2.34528	
1321010600306	 	 	 	 	-0.166416	1.43739	2.43395	
1321010600457	 	 	 	 	-0.200404	1.44882	2.48835	
1321010600558	 	 	 	 	-0.160764	1.49978	2.45634	
1321010600962	 	 	 	 	-0.121047	1.54628	2.44231	
1321010601113	 	 	 	 	-0.0743315	1.55868	2.40057	
1321010601567	 	 	 	 	0.0151346	1.41717	2.30716	
1321010601617	 	 	 	 	0.00582455	1.42002	2.31465	
1321010602173	 	 	 	0.103349	 	 	 	
1321010602777	 	 	 	 	0.0278176	1.40437	2.25607	
1321010602980	 	 	 	0.103349	 	 	 	
1321010603029	 	 	 	 	-0.113267	1.41491	2.40975	
1321010603079	 	 	 	 	-0.137037	1.40727	2.43971	
1321010603180	 	 	 	 	-0.15042	1.39197	2.46783	
1321010603533	 	 	 	 	-0.07771	1.45746	2.42831	
1321010603585	-0.018	0	0.095	 	 	 	 	
1321010603987	 	 	 	 	-0.165842	1.38171	2.58473	
1321010603989	-0.018	0	0.1	 	 	 	 	
1321010604188	 	 	 	 	-0.095833	1.38404	2.54328	
1321010604542	 	 	 	 	0.137904	1.51778	2.27805	
1321010604592	 	 	 	 	0.160614	1.53072	2.24809	
1321010604795	-0.018	0	0.11	 	 	 	 	
1321010604945	 	 	 	 	-0.0265984	1.44887	2.38922	
1321010605298	 	 	 	 	-0.00311279	1.44067	2.33573	
1321010605550	 	 	 	 	0.0457669	1.48105	2.25352	
1321010605752	 	 	 	 	0.0991136	1.52149	2.17555	
1321010606207	 	 	 	0.103349	 	 	 	
1321010606962	 	 	 	 	0.0456426	0.522947	1.89718	
1321010607014	-0.018	-0.002	0.095	 	 	 	 	
1321010607365	 	 	 	 	0.0446389	0.0467587	1.86221	
1321010608976	 	 	 	 	0.00873321	0.0324998	1.87915	
1321010609229	-0.02	-0.001	0.1	 	 	 	 	
1321010609529	 	 	 	 	0.00543592	0.0368719	1.88404	
1321010609632	 	 	 	0.103349	 	 	 	
1321010609781	 	 	 	 	0.00408554	0.0381055	1.88614	
1321010610184	 	 	 	 	0.00273075	0.0393684	1.88921	
1321010610486	 	 	 	 	0.00210888	0.0398735	1.89207	
1321010610990	 	 	 	 	0.00090839	0.0413828	1.89662	
1321010611647	-0.018	0	0.37	 	 	 	 	
1321010612854	 	 	 	 	-0.00231512	0.0437171	1.91563	
1321010613662	 	 	 	0.103349	 	 	 	
1321010613963	 	 	 	 	-0.00503429	0.0429375	1.92584	
1321010614365	 	 	 	 	-0.00617866	0.0416196	1.9287	
1321010614868	 	 	 	 	-0.00696934	0.0398363	1.93409	
1321010615878	 	 	 	0.103349	 	 	 	
1321010615977	 	 	 	 	-0.0067257	0.0361447	1.9456	
1321010616028	 	 	 	 	-0.00701019	0.0362842	1.9467	
1321010617691	 	 	 	0.103349	 	 	 	
1321010617993	 	 	 	 	0.0285486	-0.0883027	1.87704	
1321010618700	0.122	-0.029	0.11	 	 	 	 	
1321010618950	 	 	 	 	-0.00326983	0.00632252	1.87148	
1321010620261	 	 	 	 	-0.0147658	-0.0116755	2.20759	
1321010620564	 	 	 	 	0.0207954	0.00545116	2.25581	
1321010620866	 	 	 	 	0.0298155	0.0085538	2.27684	
1321010621068	 	 	 	 	0.0199175	-0.00257386	2.25511	
1321010621323	0	-0.013	-0.00500001	 	 	 	 	
1321010621471	 	 	 	 	-0.000400206	-0.0793328	2.20022	
1321010622025	 	 	 	 	0.0129165	-0.0567813	2.14942	
1321010622076	 	 	 	 	0.0240627	-0.0637677	2.14754	
