unix_timestamp	att_sp.x	att_sp.y	att_sp.z	att_sp_rm.x	att_sp_rm.y	att_sp_rm.z	pitch_IMU	roll_IMU	yaw_IMU	
1278248729043	 	 	 	 	 	 	-0.0366136	-0.0124471	-4.94918	
1278248729044	 	 	 	0	0	0	 	 	 	
1278248729045	0	0	0	 	 	 	 	 	 	
1278248729093	 	 	 	 	 	 	-0.0366632	-0.0124856	-4.94926	
1278248729143	 	 	 	 	 	 	-0.0365992	-0.0127044	-4.94929	
1278248729194	 	 	 	 	 	 	-0.0366306	-0.0125523	-4.94923	
1278248729244	 	 	 	 	 	 	-0.0367134	-0.0127457	-4.94925	
1278248729246	0	0	0	0	0	0	 	 	 	
1278248729295	 	 	 	 	 	 	-0.0366514	-0.012951	-4.94931	
1278248729345	 	 	 	 	 	 	-0.0367194	-0.012721	-4.94923	
1278248729395	 	 	 	 	 	 	-0.0368346	-0.012716	-4.94929	
1278248729446	 	 	 	 	 	 	-0.0367303	-0.012639	-4.94931	
1278248729447	0	0	0	0	0	0	 	 	 	
1278248729496	 	 	 	 	 	 	-0.0367711	-0.0126173	-4.94933	
1278248729546	 	 	 	 	 	 	-0.0367208	-0.0125699	-4.94938	
1278248729597	 	 	 	 	 	 	-0.0368652	-0.0124019	-4.9493	
1278248729647	 	 	 	 	 	 	-0.0369979	-0.012294	-4.94913	
1278248729649	0	0	0	0	0	0	 	 	 	
1278248729698	 	 	 	 	 	 	-0.0370596	-0.0124283	-4.94915	
1278248729748	 	 	 	 	 	 	-0.037028	-0.0123146	-4.9492	
1278248729798	 	 	 	 	 	 	-0.0369891	-0.0123947	-4.94928	
1278248729849	 	 	 	 	 	 	-0.0369204	-0.0123404	-4.94933	
1278248729851	0	0	0	0	0	0	 	 	 	
1278248729899	 	 	 	 	 	 	-0.0371306	-0.0122824	-4.94938	
1278248729949	 	 	 	 	 	 	-0.0372644	-0.0122401	-4.94938	
1278248730000	 	 	 	 	 	 	-0.0373358	-0.0121731	-4.94942	
1278248730050	 	 	 	 	 	 	-0.0375127	-0.0121225	-4.94956	
1278248730051	 	 	 	0	0	0	 	 	 	
1278248730052	0	0	0	 	 	 	 	 	 	
1278248730101	 	 	 	 	 	 	-0.0375911	-0.0121062	-4.9496	
1278248730151	 	 	 	 	 	 	-0.0375057	-0.0120023	-4.94956	
1278248730201	 	 	 	 	 	 	-0.0375617	-0.0119753	-4.94953	
1278248730252	 	 	 	 	 	 	-0.0376439	-0.0119984	-4.94955	
1278248730253	0	0	0	0	0	0	 	 	 	
1278248730302	 	 	 	 	 	 	-0.0377123	-0.011828	-4.94948	
1278248730352	 	 	 	 	 	 	-0.0378524	-0.0117422	-4.94944	
1278248730403	 	 	 	 	 	 	-0.0378439	-0.0114756	-4.9495	
1278248730453	 	 	 	 	 	 	-0.037846	-0.0115855	-4.94948	
1278248730455	 	 	 	0	0	0	 	 	 	
1278248730456	0	0	0	 	 	 	 	 	 	
1278248730503	 	 	 	 	 	 	-0.0379066	-0.011695	-4.94952	
1278248730554	 	 	 	 	 	 	-0.0379566	-0.0115221	-4.9495	
1278248730604	 	 	 	 	 	 	-0.037974	-0.0115062	-4.94948	
1278248730654	 	 	 	 	 	 	-0.0380097	-0.0115897	-4.94946	
1278248730656	0	0	0	0	0	0	 	 	 	
1278248730705	 	 	 	 	 	 	-0.0379748	-0.011749	-4.94938	
1278248730755	 	 	 	 	 	 	-0.0378783	-0.01162	-4.94939	
