unix_timestamp	pos.x	pos.y	pos.z	pos_sp.x	pos_sp.y	pos_sp.z	
1278352973457	1.66331	0.396615	-0.0702566	 	 	 	
1278352973458	 	 	 	1.66	0.55	-0.7	
1278352973507	1.66331	0.396615	-0.070452	 	 	 	
1278352973508	 	 	 	1.66	0.55	-0.7	
1278352973558	1.66331	0.396615	-0.0709627	1.66	0.55	-0.7	
1278352973609	1.66331	0.396615	-0.0709622	1.66	0.55	-0.7	
1278352973610	 	 	 	1.66	0.55	-0.7	
1278352973659	1.66331	0.396615	-0.0712477	 	 	 	
1278352973660	 	 	 	1.66	0.55	-0.7	
1278352973709	1.66331	0.396615	-0.0710872	 	 	 	
1278352973710	 	 	 	1.66	0.55	-0.7	
1278352973759	1.66331	0.396615	-0.0710431	 	 	 	
1278352973760	 	 	 	1.66	0.55	-0.7	
1278352973810	1.66331	0.396615	-0.0682705	1.66	0.55	-0.7	
1278352973811	 	 	 	1.66	0.55	-0.7	
1278352973860	1.66331	0.396615	-0.0688476	 	 	 	
1278352973861	 	 	 	1.66	0.55	-0.7	
1278352973910	1.66331	0.396615	-0.069472	 	 	 	
1278352973911	 	 	 	1.66	0.55	-0.7	
1278352973961	1.66331	0.396615	-0.0700028	1.66	0.55	-0.7	
1278352974009	1.66331	0.396615	-0.0702967	1.66	0.55	-0.7	
1278352974011	1.66331	0.396615	-0.0702967	1.66	0.55	-0.7	
1278352974061	1.66331	0.396615	-0.0701096	 	 	 	
1278352974062	 	 	 	1.66	0.55	-0.7	
1278352974111	1.66331	0.396615	-0.0699586	 	 	 	
1278352974112	 	 	 	1.66	0.55	-0.7	
1278352974162	1.66331	0.396615	-0.0674127	1.66	0.55	-0.7	
1278352974210	1.66331	0.396615	-0.0685924	1.66	0.55	-0.7	
1278352974212	1.66331	0.396615	-0.0685924	 	 	 	
1278352974213	 	 	 	1.66	0.55	-0.7	
1278352974263	1.66331	0.396615	-0.0689839	 	 	 	
1278352974264	 	 	 	1.66	0.55	-0.7	
1278352974313	1.66331	0.396615	-0.0695089	 	 	 	
1278352974314	 	 	 	1.66	0.55	-0.7	
1278352974364	1.66331	0.396615	-0.0696535	1.66	0.55	-0.7	
1278352974409	1.66331	0.396615	-0.0695516	1.66	0.55	-0.7	
1278352974414	1.66331	0.396615	-0.0695516	1.66	0.55	-0.7	
1278352974464	1.66331	0.396615	-0.0697935	1.66	0.55	-0.7	
1278352974514	1.66331	0.396615	-0.0701543	 	 	 	
1278352974515	 	 	 	1.66	0.55	-0.7	
1278352974564	1.66331	0.396615	-0.0702066	 	 	 	
1278352974565	 	 	 	1.66	0.55	-0.7	
1278352974610	1.66331	0.396615	-0.0699396	1.66	0.55	-0.7	
1278352974615	1.66331	0.396615	-0.0699396	 	 	 	
1278352974665	1.66331	0.396615	-0.0706223	1.66	0.55	-0.7	
1278352974715	1.66331	0.396615	-0.0709106	 	 	 	
1278352974716	 	 	 	1.66	0.55	-0.7	
1278352974766	1.66331	0.396615	-0.0709246	1.66	0.55	-0.7	
1278352974810	1.66331	0.396615	-0.0706163	 	 	 	
1278352974811	 	 	 	1.66	0.55	-0.7	
1278352974816	 	 	 	1.66	0.55	-0.7	
1278352974866	1.66331	0.396615	-0.0704288	1.66	0.55	-0.7	
1278352974916	1.66331	0.396615	-0.0710025	1.66	0.55	-0.7	
1278352974966	1.66331	0.396615	-0.0709909	1.66	0.55	-0.7	
1278352975010	1.66331	0.396615	-0.0705069	 	 	 	
1278352975011	 	 	 	1.66	0.55	-0.7	
1278352975016	1.66331	0.396615	-0.0705069	1.66	0.55	-0.7	
1278352975066	1.66331	0.396615	-0.0707964	1.66	0.55	-0.7	
1278352975116	1.66331	0.396615	-0.070297	1.66	0.55	-0.7	
1278352975166	1.66331	0.396615	-0.0698056	 	 	 	
1278352975167	 	 	 	1.66	0.55	-0.7	
1278352975210	1.66331	0.396615	-0.0700943	 	 	 	
1278352975211	 	 	 	1.66	0.55	-0.7	
1278352975216	1.66331	0.396615	-0.0700943	1.66	0.55	-0.7	
1278352975266	1.66331	0.396615	-0.0702941	1.66	0.55	-0.7	
1278352975316	1.66331	0.396615	-0.0702878	 	 	 	
1278352975317	 	 	 	1.66	0.55	-0.7	
1278352975366	1.66331	0.396615	-0.0694905	 	 	 	
1278352975367	 	 	 	1.66	0.55	-0.7	
1278352975411	1.66331	0.396615	-0.0693254	1.66	0.55	-0.7	
1278352975416	1.66331	0.396615	-0.0693254	 	 	 	
1278352975417	 	 	 	1.66	0.55	-0.7	
1278352975466	1.66331	0.396615	-0.0686831	 	 	 	
1278352975467	 	 	 	1.66	0.55	-0.7	
1278352975516	1.66331	0.396615	-0.0695585	 	 	 	
1278352975517	 	 	 	1.66	0.55	-0.7	
1278352975566	1.66331	0.396615	-0.0697985	 	 	 	
1278352975567	 	 	 	1.66	0.55	-0.7	
1278352975611	1.66331	0.396615	-0.0701624	1.66	0.55	-0.7	
1278352975617	1.66331	0.396615	-0.0701624	1.66	0.55	-0.7	
