unix_timestamp	int_pos.x	int_pos.y	int_pos.z	pos.x	pos.y	pos.z	pos_sp.x	pos_sp.y	pos_sp.z	
1278354625238	 	 	 	1.7075	0.643303	-0.0500786	1.66	0.55	-0.7	
1278354625288	 	 	 	1.7075	0.643303	-0.0500786	 	 	 	
1278354625289	 	 	 	 	 	 	1.66	0.55	-0.7	
1278354625290	9.65218	7.59488	-0.318005	1.7075	0.643303	-0.0500786	1.66	0.55	-0.7	
1278354625339	 	 	 	1.7075	0.643303	-0.0500786	1.66	0.55	-0.7	
1278354625389	 	 	 	1.7075	0.643303	-0.0500786	1.66	0.55	-0.7	
1278354625439	 	 	 	1.7075	0.643303	-0.0500786	 	 	 	
1278354625440	 	 	 	 	 	 	1.66	0.55	-0.7	
1278354625490	 	 	 	1.7075	0.643303	-0.0500786	1.66	0.55	-0.7	
1278354625491	 	 	 	1.7075	0.643303	-0.0500786	 	 	 	
1278354625492	9.64268	7.57622	-0.318005	 	 	 	1.66	0.55	-0.7	
1278354625540	 	 	 	1.7075	0.643303	-0.0707501	1.66	0.55	-0.7	
1278354625590	 	 	 	1.7075	0.643303	-0.0695146	 	 	 	
1278354625591	 	 	 	 	 	 	1.66	0.55	-0.7	
1278354625641	 	 	 	1.7075	0.643303	-0.0701481	1.66	0.55	-0.7	
1278354625691	 	 	 	1.7075	0.643303	-0.0697133	 	 	 	
1278354625692	 	 	 	 	 	 	1.66	0.55	-0.7	
1278354625693	 	 	 	1.7075	0.643303	-0.0697133	1.66	0.55	-0.7	
1278354625742	 	 	 	1.7075	0.643303	-0.070248	1.66	0.55	-0.7	
1278354625792	 	 	 	1.7075	0.643303	-0.0702413	1.66	0.55	-0.7	
1278354625842	 	 	 	1.7075	0.643303	-0.0704174	 	 	 	
1278354625843	 	 	 	 	 	 	1.66	0.55	-0.7	
1278354625893	 	 	 	1.7075	0.643303	-0.0706439	1.66	0.55	-0.7	
1278354625894	9.62368	7.5389	-0.318005	1.7075	0.643303	-0.0706439	1.66	0.55	-0.7	
1278354625943	 	 	 	1.7075	0.643303	-0.0708954	1.66	0.55	-0.7	
1278354625993	 	 	 	1.7075	0.643303	-0.0705255	 	 	 	
1278354625994	 	 	 	 	 	 	1.66	0.55	-0.7	
1278354626044	 	 	 	1.7075	0.643303	-0.070232	1.66	0.55	-0.7	
