unix_timestamp	int_pos.x	int_pos.y	int_pos.z	pos.x	pos.y	pos.z	pos_sp.x	pos_sp.y	pos_sp.z	vel.x	vel.y	vel.z	
1278355467437	 	 	 	 	 	 	1.66	0.570001	-8.97464e-26	 	 	 	
1278355467438	 	 	 	1.82247	0.375146	-0.0686022	1.66	0.570001	-8.97464e-26	 	 	 	
1278355467439	-5.25913	6.81038	0.000206699	 	 	 	 	 	 	 	 	 	
1278355467487	 	 	 	1.82247	0.375146	-0.0687013	1.66	0.570001	-8.07717e-26	-1.4013e-45	1.4013e-45	0	
1278355467537	 	 	 	1.82247	0.375146	-0.0691671	 	 	 	-1.4013e-45	1.4013e-45	0	
1278355467538	 	 	 	 	 	 	1.66	0.570001	-7.26946e-26	 	 	 	
1278355467588	 	 	 	1.82247	0.375146	-0.0693146	1.66	0.570001	-6.54251e-26	-1.4013e-45	1.4013e-45	0	
1278355467638	 	 	 	1.82247	0.375146	-0.0692982	1.66	0.570001	-5.88826e-26	-1.4013e-45	1.4013e-45	0	
1278355467639	 	 	 	1.82247	0.375146	-0.0692982	1.66	0.570001	-5.88826e-26	 	 	 	
1278355467640	-5.29162	6.84936	0.000206699	 	 	 	 	 	 	 	 	 	
1278355467688	 	 	 	1.82247	0.375146	-0.0689957	 	 	 	 	 	 	
1278355467689	 	 	 	 	 	 	1.66	0.570001	-5.29943e-26	-1.4013e-45	1.4013e-45	0	
1278355467739	 	 	 	1.82247	0.375146	-0.0695538	1.66	0.570001	-4.76949e-26	-1.4013e-45	1.4013e-45	0	
1278355467789	 	 	 	1.82247	0.375146	-0.0700187	 	 	 	-1.4013e-45	1.4013e-45	0	
1278355467790	 	 	 	 	 	 	1.66	0.570001	-4.29254e-26	 	 	 	
1278355467839	 	 	 	1.82247	0.375146	-0.0696628	 	 	 	 	 	 	
1278355467840	 	 	 	 	 	 	1.66	0.570001	-3.86329e-26	-1.4013e-45	1.4013e-45	0	
1278355467841	 	 	 	1.82247	0.375146	-0.0696628	1.66	0.570001	-3.86329e-26	 	 	 	
1278355467842	-5.32412	6.88833	0.000206699	 	 	 	 	 	 	 	 	 	
1278355467890	 	 	 	1.82247	0.375146	-0.0691022	1.66	0.570001	-3.47696e-26	-1.4013e-45	1.4013e-45	0	
1278355467940	 	 	 	1.82247	0.375146	-0.0689335	 	 	 	-1.4013e-45	1.4013e-45	0	
1278355467941	 	 	 	 	 	 	1.66	0.570001	-3.12926e-26	 	 	 	
