unix_timestamp	att_sp.x	att_sp.y	att_sp.z	att_sp_rm.x	att_sp_rm.y	att_sp_rm.z	int_att.x	int_att.y	int_att.z	pitch_IMU	roll_IMU	yaw_IMU	
1278257042248	 	 	 	 	 	 	 	 	 	-0.0418589	0.0260421	2.09786	
1278257042289	 	 	 	-0.019	-0.002	0.025	 	 	 	 	 	 	
1278257042290	-0.019	-0.002	0.105	 	 	 	-0.3	0.3	0.276753	 	 	 	
1278257042298	 	 	 	 	 	 	 	 	 	-0.0418121	0.0255931	2.09781	
1278257042349	 	 	 	 	 	 	 	 	 	-0.0419556	0.0251985	2.09787	
1278257042399	 	 	 	 	 	 	 	 	 	-0.0416327	0.0254911	2.09772	
1278257042449	 	 	 	 	 	 	 	 	 	-0.0413554	0.0250756	2.09812	
1278257042491	-0.019	-0.002	0.11	-0.019	-0.002	0.03	 	 	 	 	 	 	
1278257042492	 	 	 	 	 	 	-0.3	0.3	0.299223	 	 	 	
1278257042500	 	 	 	 	 	 	 	 	 	-0.0411733	0.0251328	2.09784	
1278257042550	 	 	 	 	 	 	 	 	 	-0.041326	0.0249449	2.09773	
1278257042600	 	 	 	 	 	 	 	 	 	-0.0412939	0.0242443	2.09802	
1278257042651	 	 	 	 	 	 	 	 	 	-0.0410528	0.0243966	2.09786	
1278257042692	 	 	 	-0.019	-0.003	0.025	 	 	 	 	 	 	
1278257042693	-0.019	-0.003	0.105	 	 	 	-0.3	0.3	0.320843	 	 	 	
1278257042701	 	 	 	 	 	 	 	 	 	-0.041038	0.0242712	2.09795	
1278257042752	 	 	 	 	 	 	 	 	 	-0.0412461	0.0242107	2.09849	
1278257042802	 	 	 	 	 	 	 	 	 	-0.0411365	0.0234949	2.09837	
1278257042852	 	 	 	 	 	 	 	 	 	-0.040505	0.0243921	2.09917	
1278257042894	-0.019	-0.003	0.1	-0.019	-0.003	0.02	-0.3	0.3	0.34053	 	 	 	
1278257042903	 	 	 	 	 	 	 	 	 	-0.0392651	0.0240728	2.09873	
1278257042953	 	 	 	 	 	 	 	 	 	-0.0376039	0.0249377	2.09983	
1278257043003	 	 	 	 	 	 	 	 	 	-0.0352751	0.0264223	2.10192	
1278257043054	 	 	 	 	 	 	 	 	 	-0.0364052	0.0248182	2.10196	
1278257043095	 	 	 	-0.018	-0.003	0.025	 	 	 	 	 	 	
1278257043096	 	 	 	 	 	 	-0.3	0.3	0.359543	 	 	 	
1278257043104	 	 	 	 	 	 	 	 	 	-0.0379719	0.0243607	2.10061	
1278257043155	 	 	 	 	 	 	 	 	 	-0.0363921	0.0247051	2.10022	
1278257043205	 	 	 	 	 	 	 	 	 	-0.0354718	0.0246786	2.10162	
1278257043255	 	 	 	 	 	 	 	 	 	-0.0373977	0.0249845	2.10215	
1278257043297	-0.02	-0.003	0.09	-0.02	-0.003	0.01	-0.3	0.3	0.375627	 	 	 	
1278257043306	 	 	 	 	 	 	 	 	 	-0.0370706	0.0283556	2.10409	
1278257043356	 	 	 	 	 	 	 	 	 	-0.0361283	0.0288461	2.10429	
1278257043406	 	 	 	 	 	 	 	 	 	-0.0373131	0.025594	2.10315	
1278257043457	 	 	 	 	 	 	 	 	 	-0.0366383	0.0257748	2.10195	
1278257043498	 	 	 	-0.02	-0.003	0.025	 	 	 	 	 	 	
1278257043499	-0.02	-0.003	0.105	 	 	 	-0.3	0.3	0.395963	 	 	 	
1278257043507	 	 	 	 	 	 	 	 	 	-0.0366443	0.0270088	2.10228	
1278257043558	 	 	 	 	 	 	 	 	 	-0.0374631	0.0265303	2.1029	
1278257043608	 	 	 	 	 	 	 	 	 	-0.0382233	0.0281336	2.10242	
1278257043658	 	 	 	 	 	 	 	 	 	-0.03642	0.0272567	2.1018	
1278257043700	-0.018	-0.004	0.11	-0.018	-0.004	0.03	-0.3	0.3	0.419233	 	 	 	
1278257043709	 	 	 	 	 	 	 	 	 	-0.0364514	0.0278333	2.10314	
1278257043759	 	 	 	 	 	 	 	 	 	-0.032793	0.0286948	2.10222	
1278257043809	 	 	 	 	 	 	 	 	 	-0.0303434	0.0278486	2.10021	
1278257043860	 	 	 	 	 	 	 	 	 	-0.029623	0.0254675	2.09871	
1278257043901	 	 	 	-0.019	-0.004	0.035	 	 	 	 	 	 	
1278257043902	-0.019	-0.004	0.115	 	 	 	-0.3	0.3	0.445558	 	 	 	
1278257043910	 	 	 	 	 	 	 	 	 	-0.030319	0.0268137	2.09823	
1278257043961	 	 	 	 	 	 	 	 	 	-0.0324166	0.0255382	2.09652	
1278257044011	 	 	 	 	 	 	 	 	 	-0.0291493	0.0243357	2.09379	
1278257044061	 	 	 	 	 	 	 	 	 	-0.0267698	0.0252581	2.09322	
1278257044103	-0.019	-0.007	0.105	-0.019	-0.007	0.025	-0.3	0.3	0.471829	 	 	 	
1278257044111	 	 	 	 	 	 	 	 	 	-0.0278762	0.0257702	2.09318	
1278257044162	 	 	 	 	 	 	 	 	 	-0.027511	0.0237361	2.09009	
1278257044212	 	 	 	 	 	 	 	 	 	-0.0249588	0.0247836	2.08786	
1278257044263	 	 	 	 	 	 	 	 	 	-0.0265816	0.0249041	2.08633	
1278257044304	 	 	 	0	-0.022	0.03	 	 	 	 	 	 	
1278257044305	0	-0.022	0.11	 	 	 	-0.3	0.3	0.507812	 	 	 	
1278257044313	 	 	 	 	 	 	 	 	 	-0.026966	0.022414	2.08016	
1278257044363	 	 	 	 	 	 	 	 	 	-0.0268072	0.0158843	2.07232	
1278257044414	 	 	 	 	 	 	 	 	 	-0.0244919	0.00541286	2.06504	
1278257044464	 	 	 	 	 	 	 	 	 	-0.0221222	0.000136169	2.05567	
1278257044505	 	 	 	0.011	-0.016	0.03	 	 	 	 	 	 	
1278257044506	0.011	-0.016	0.11	 	 	 	-0.299062	0.3	0.561281	 	 	 	
1278257044514	 	 	 	 	 	 	 	 	 	-0.0196169	-0.010942	2.0469	
1278257044565	 	 	 	 	 	 	 	 	 	-0.0173446	-0.0211489	2.03879	
1278257044615	 	 	 	 	 	 	 	 	 	-0.0162355	-0.0366486	2.02539	
1278257044665	 	 	 	 	 	 	 	 	 	-0.00869667	-0.0499569	2.01463	
1278257044707	0.058	-0.02	0.11	0.058	-0.02	0.03	 	 	 	 	 	 	
1278257044708	 	 	 	 	 	 	-0.286739	0.298966	0.622099	 	 	 	
1278257044716	 	 	 	 	 	 	 	 	 	0.0019087	-0.060823	2.00752	
1278257044766	 	 	 	 	 	 	 	 	 	0.0106128	-0.0668551	1.9991	
1278257044817	 	 	 	 	 	 	 	 	 	0.0223279	-0.0713161	1.99082	
1278257044867	 	 	 	 	 	 	 	 	 	0.0344116	-0.0740947	1.98443	
1278257044908	0.171	-0.031	0.1	0.171	-0.031	0.02	-0.250643	0.289294	0.670149	 	 	 	
1278257044968	 	 	 	 	 	 	 	 	 	0.0464438	-0.0675636	1.97094	
1278257045018	 	 	 	 	 	 	 	 	 	0.0484189	-0.0509146	1.96575	
1278257045068	 	 	 	 	 	 	 	 	 	0.0463317	-0.0305564	1.96069	
1278257045110	0.25	-0.067	0.105	0.25	-0.067	0.025	-0.198227	0.27103	0.712645	 	 	 	
1278257045119	 	 	 	 	 	 	 	 	 	0.0412674	-0.0150309	1.95618	
1278257045169	 	 	 	 	 	 	 	 	 	0.0372699	0.00224118	1.95029	
1278257045219	 	 	 	 	 	 	 	 	 	0.0331007	0.024599	1.94556	
1278257045310	 	 	 	0.302	-0.085	0.025	 	 	 	 	 	 	
1278257045311	0.302	-0.085	0.105	 	 	 	-0.143933	0.248956	0.750688	 	 	 	
1278257045320	 	 	 	 	 	 	 	 	 	0.0234599	0.0804549	1.94174	
1278257045370	 	 	 	 	 	 	 	 	 	0.0184128	0.10516	1.94033	
1278257045421	 	 	 	 	 	 	 	 	 	0.0129042	0.114827	1.93507	
1278257045471	 	 	 	 	 	 	 	 	 	0.00907484	0.120153	1.92778	
1278257045512	0.232	-0.098	0.095	0.232	-0.098	0.015	 	 	 	 	 	 	
