unix_timestamp	att_sp_po.x	att_sp_po.y	att_sp_po.z	att_sp_rm.x	att_sp_rm.y	att_sp_rm.z	int_att.x	int_att.y	int_att.z	pitch_IMU	roll_IMU	yaw_IMU	
1278259816219	 	 	 	 	 	 	 	 	 	-0.0220841	0.0217041	-1.64016	
1278259816260	0.0196965	-0.2	2	0.01	-0.001	-0.055	 	 	 	 	 	 	
1278259816261	 	 	 	 	 	 	0.0392093	0.3	1	 	 	 	
1278259816269	 	 	 	 	 	 	 	 	 	-0.022375	0.0214396	-1.64061	
1278259816320	 	 	 	 	 	 	 	 	 	-0.0220559	0.0212603	-1.64047	
1278259816370	 	 	 	 	 	 	 	 	 	-0.0222697	0.0209784	-1.64028	
1278259816420	 	 	 	 	 	 	 	 	 	-0.0220171	0.0210525	-1.63993	
1278259816461	0.019395	-0.2	2	0.011	-0.001	-0.06	 	 	 	 	 	 	
1278259816462	 	 	 	 	 	 	0.0369858	0.3	1	 	 	 	
1278259816471	 	 	 	 	 	 	 	 	 	-0.0217879	0.0212147	-1.64014	
1278259816521	 	 	 	 	 	 	 	 	 	-0.0215921	0.0212169	-1.64055	
1278259816572	 	 	 	 	 	 	 	 	 	-0.0216179	0.0208387	-1.64046	
1278259816622	 	 	 	 	 	 	 	 	 	-0.0214915	0.0206676	-1.64032	
1278259816663	0.0190936	-0.2	2	 	 	 	 	 	 	 	 	 	
1278259816664	 	 	 	0.01	0	-0.055	0.0348915	0.3	1	 	 	 	
1278259816673	 	 	 	 	 	 	 	 	 	-0.0217105	0.0205034	-1.64047	
1278259816723	 	 	 	 	 	 	 	 	 	-0.0217599	0.0207837	-1.64015	
1278259816773	 	 	 	 	 	 	 	 	 	-0.0216948	0.0206235	-1.64045	
1278259816824	 	 	 	 	 	 	 	 	 	-0.021632	0.0201729	-1.64062	
1278259816865	0.0187921	-0.2	2	0.009	-0.001	-0.06	 	 	 	 	 	 	
1278259816866	 	 	 	 	 	 	0.0327479	0.3	1	 	 	 	
1278259816874	 	 	 	 	 	 	 	 	 	-0.0216801	0.0200831	-1.64064	
1278259816925	 	 	 	 	 	 	 	 	 	-0.0216348	0.0205026	-1.64063	
1278259816975	 	 	 	 	 	 	 	 	 	-0.0215494	0.0205121	-1.64066	
1278259817026	 	 	 	 	 	 	 	 	 	-0.0215212	0.0203574	-1.64114	
1278259817066	0.0184907	-0.2	2	 	 	 	 	 	 	 	 	 	
1278259817067	 	 	 	0.01	0	-0.055	 	 	 	 	 	 	
1278259817076	 	 	 	 	 	 	 	 	 	-0.0214373	0.0200986	-1.64056	
1278259817126	 	 	 	 	 	 	 	 	 	-0.021638	0.019861	-1.64044	
1278259817177	 	 	 	 	 	 	 	 	 	-0.0215168	0.0201082	-1.64033	
1278259817227	 	 	 	 	 	 	 	 	 	-0.0216177	0.0202094	-1.64044	
1278259817269	0.0181892	-0.2	2	0.009	-0.001	-0.055	0.0286326	0.3	0.999979	 	 	 	
1278259817278	 	 	 	 	 	 	 	 	 	-0.0217128	0.0200131	-1.64019	
1278259817328	 	 	 	 	 	 	 	 	 	-0.0217291	0.0200504	-1.64021	
1278259817378	 	 	 	 	 	 	 	 	 	-0.0211845	0.0203057	-1.64022	
1278259817429	 	 	 	 	 	 	 	 	 	-0.0212592	0.0197951	-1.64043	
1278259817469	0.0178878	-0.2	2	0.011	-0.002	-0.065	 	 	 	 	 	 	
1278259817470	 	 	 	 	 	 	0.0267231	0.3	1	 	 	 	
1278259817479	 	 	 	 	 	 	 	 	 	-0.0215488	0.0204551	-1.64005	
1278259817529	 	 	 	 	 	 	 	 	 	-0.0216173	0.0203354	-1.64021	
1278259817579	 	 	 	 	 	 	 	 	 	-0.0215199	0.0206814	-1.64009	
1278259817630	 	 	 	 	 	 	 	 	 	-0.0213531	0.0207142	-1.64033	
1278259817671	0.0175863	-0.2	2	 	 	 	 	 	 	 	 	 	
1278259817672	 	 	 	0.011	-0.001	-0.06	0.0248363	0.3	1	 	 	 	
1278259817680	 	 	 	 	 	 	 	 	 	-0.0212688	0.0204344	-1.64031	
1278259817731	 	 	 	 	 	 	 	 	 	-0.0213924	0.0205504	-1.64036	
1278259817781	 	 	 	 	 	 	 	 	 	-0.0215411	0.0204278	-1.64026	
1278259817831	 	 	 	 	 	 	 	 	 	-0.0216567	0.0205639	-1.63986	
1278259817872	0.0172849	-0.2	2	0.013	-0.002	-0.06	 	 	 	 	 	 	
1278259817873	 	 	 	 	 	 	0.0230195	0.3	1	 	 	 	
1278259817882	 	 	 	 	 	 	 	 	 	-0.0218595	0.0199373	-1.64011	
1278259817932	 	 	 	 	 	 	 	 	 	-0.0217247	0.0199653	-1.64025	
1278259817982	 	 	 	 	 	 	 	 	 	-0.022004	0.019873	-1.6402	
1278259818033	 	 	 	 	 	 	 	 	 	-0.0215268	0.0199532	-1.64007	
1278259818073	0.0169834	-0.2	2	0.011	-0.001	-0.065	 	 	 	 	 	 	
1278259818074	 	 	 	 	 	 	0.0213007	0.3	0.999948	 	 	 	
1278259818083	 	 	 	 	 	 	 	 	 	-0.0215947	0.0194502	-1.64044	
1278259818134	 	 	 	 	 	 	 	 	 	-0.0217484	0.0193728	-1.64018	
1278259818184	 	 	 	 	 	 	 	 	 	-0.0216632	0.0192891	-1.63969	
1278259818234	 	 	 	 	 	 	 	 	 	-0.0216439	0.0195939	-1.63941	
1278259818276	0.016682	-0.2	2	0.01	0	-0.065	 	 	 	 	 	 	
1278259818277	 	 	 	 	 	 	0.0196165	0.3	1	 	 	 	
1278259818285	 	 	 	 	 	 	 	 	 	-0.0218093	0.0197084	-1.63954	
1278259818335	 	 	 	 	 	 	 	 	 	-0.0220273	0.0194363	-1.63967	
1278259818385	 	 	 	 	 	 	 	 	 	-0.0222835	0.0186178	-1.63958	
1278259818436	 	 	 	 	 	 	 	 	 	-0.0219615	0.0188199	-1.6396	
1278259818477	0.0163805	-0.2	2	0.012	-0.001	-0.125	 	 	 	 	 	 	
1278259818478	 	 	 	 	 	 	0.0181933	0.3	0.999167	 	 	 	
1278259818486	 	 	 	 	 	 	 	 	 	-0.0218061	0.0187888	-1.63961	
