unix_timestamp	att_sp.x	att_sp.y	att_sp.z	att_sp_rm.x	att_sp_rm.y	att_sp_rm.z	pitch_IMU	roll_IMU	yaw_IMU	
1321010112971	 	 	 	 	 	 	-0.0130155	0.114487	-2.43817	
1321010113022	 	 	 	 	 	 	-0.0128784	0.114426	-2.43833	
1321010113072	 	 	 	 	 	 	-0.0127538	0.114212	-2.43848	
1321010113073	 	 	 	0	0	0	 	 	 	
1321010113173	 	 	 	 	 	 	-0.0128996	0.114408	-2.43846	
1321010113223	 	 	 	 	 	 	-0.012806	0.114374	-2.43858	
1321010113274	 	 	 	 	 	 	-0.0129177	0.114391	-2.43843	
1321010113576	 	 	 	 	 	 	-0.0130401	0.115094	-2.43847	
1321010113626	 	 	 	 	 	 	-0.0128749	0.11481	-2.43861	
1321010113677	0	0	0	0	0	0	 	 	 	
1321010113828	 	 	 	 	 	 	-0.0128452	0.114706	-2.43908	
1321010113878	 	 	 	 	 	 	-0.0128412	0.114769	-2.43923	
1321010113979	 	 	 	 	 	 	-0.0129333	0.114662	-2.43932	
1321010114231	 	 	 	 	 	 	-0.0129219	0.114641	-2.43955	
1321010114382	 	 	 	 	 	 	-0.0129546	0.114842	-2.43925	
1321010114433	 	 	 	 	 	 	-0.0129563	0.114879	-2.43926	
1321010114484	 	 	 	0	0	0	 	 	 	
1321010114585	 	 	 	 	 	 	-0.0128947	0.11515	-2.43949	
1321010114635	 	 	 	 	 	 	-0.0129245	0.115216	-2.43949	
1321010114685	 	 	 	0	0	0	 	 	 	
1321010114836	 	 	 	 	 	 	-0.0128684	0.114851	-2.43938	
1321010114886	 	 	 	 	 	 	-0.0129715	0.11487	-2.43922	
1321010114936	 	 	 	 	 	 	-0.012922	0.114735	-2.43915	
1321010114987	 	 	 	 	 	 	-0.0128662	0.114926	-2.43915	
1321010115037	 	 	 	 	 	 	-0.0127749	0.114939	-2.43914	
1321010115088	 	 	 	 	 	 	-0.0128253	0.115023	-2.43928	
1321010115189	 	 	 	 	 	 	-0.0130882	0.114949	-2.43936	
1321010115390	 	 	 	 	 	 	-0.0130977	0.115113	-2.43937	
1321010115441	 	 	 	 	 	 	-0.0129754	0.114882	-2.43945	
1321010115491	 	 	 	 	 	 	-0.0129251	0.114868	-2.43953	
1321010115492	 	 	 	0	0	0	 	 	 	
1321010115592	 	 	 	 	 	 	-0.0128604	0.114889	-2.43947	
1321010115642	 	 	 	 	 	 	-0.0128648	0.115047	-2.43948	
1321010115693	 	 	 	 	 	 	-0.0129137	0.115164	-2.43945	
1321010115844	 	 	 	 	 	 	-0.0130471	0.114952	-2.43929	
1321010115894	 	 	 	 	 	 	-0.0131224	0.115083	-2.43925	
1321010115896	 	 	 	0	0	0	 	 	 	
1321010115995	 	 	 	 	 	 	-0.0130682	0.11501	-2.43936	
1321010116398	 	 	 	 	 	 	-0.0129658	0.115136	-2.43995	
1321010116449	 	 	 	 	 	 	-0.0130088	0.115118	-2.43998	
1321010116499	 	 	 	 	 	 	-0.0130227	0.115446	-2.44001	
1321010116500	 	 	 	0	0	0	 	 	 	
1321010116600	 	 	 	 	 	 	-0.0131236	0.115502	-2.43997	
1321010116650	 	 	 	 	 	 	-0.0131325	0.115398	-2.44005	
1321010116701	 	 	 	 	 	 	-0.0131247	0.115504	-2.44005	
1321010116702	 	 	 	0	0	0	 	 	 	
1321010116751	 	 	 	 	 	 	-0.013183	0.115605	-2.44007	
1321010116802	 	 	 	 	 	 	-0.0132948	0.115684	-2.44017	
1321010116852	 	 	 	 	 	 	-0.0131523	0.11549	-2.44022	
1321010116902	 	 	 	 	 	 	-0.0131981	0.11561	-2.44018	
1321010117003	 	 	 	 	 	 	-0.0131898	0.115284	-2.44034	
1321010117104	 	 	 	 	 	 	-0.0129721	0.115201	-2.44044	
1321010117105	 	 	 	0	0	0	 	 	 	
1321010117204	 	 	 	 	 	 	-0.0129895	0.115272	-2.44047	
