unix_timestamp	Gyro_Phi	Gyro_Psi	Gyro_Theta	Mag._X	
1278322011275	29816	29479	29947	14051	
1278322011376	29812	29475	29953	14051	
1278322011476	29794	29473	29964	14039	
1278322011577	29795	29468	29966	14046	
1278322011677	29808	29468	29964	14049	
1278322011778	29793	29476	29951	14039	
1278322011878	29799	29468	29958	14044	
1278322011979	29804	29475	29968	14049	
1278322012079	29806	29473	29976	14041	
1278322012179	29804	29472	29968	14040	
1278322012279	29812	29474	29968	14043	
1278322012379	29797	29468	29960	14044	
1278322012479	29799	29470	29965	14044	
1278322012579	29804	29468	29966	14046	
1278322012679	29803	29468	29966	14040	
1278322012779	29806	29472	29976	14043	
1278322012880	29803	29468	29966	14046	
1278322012980	29804	29473	29972	14049	
1278322013081	29808	29479	29939	14038	
1278322013181	29812	29473	29953	14039	
1278322013282	29808	29464	29966	14041	
1278322013383	29793	29476	29951	14039	
1278322013483	29808	29471	29953	14054	
1278322013584	29808	29479	29947	14055	
1278322013684	29792	29468	29966	14044	
1278322013785	29785	29471	29951	14054	
1278322013886	29808	29475	29947	14051	
1278322013987	29795	29470	29958	14056	
1278322014087	29799	29464	29964	14048	
1278322014188	29804	29475	29968	14048	
1278322014288	29795	29470	29959	14054	
1278322014389	29806	29473	29976	14040	
1278322014490	29795	29468	29964	14045	
1278322014590	29795	29470	29959	14047	
1278322014691	29791	29473	29968	14051	
1278322014792	29799	29468	29959	14044	
1278322014892	29795	29470	29958	14056	
1278322014993	29795	29471	29959	14046	
1278322015093	29795	29470	29959	14054	
1278322015194	29803	29464	29966	14056	
1278322015294	29795	29470	29951	14054	
1278322015395	29804	29475	29976	14051	
1278322015495	29804	29475	29976	14060	
1278322015596	29799	29468	29966	14052	
1278322015697	29806	29472	29968	14049	
1278322015797	29793	29479	29947	14055	
1278322015898	29804	29475	29961	14051	
1278322015999	29812	29473	29953	14051	
1278322016099	29808	29473	29947	14051	
1278322016200	29799	29464	29966	14056	
1278322016300	29793	29470	29951	14056	
1278322016401	29804	29473	29968	14049	
1278322016501	29806	29468	29962	14044	
1278322016602	29793	29478	29951	14055	
1278322016702	29808	29471	29951	14055	
1278322016803	29806	29473	29976	14043	
1278322016903	29795	29471	29943	14060	
1278322017004	29806	29473	29976	14048	
1278322017104	29791	29465	29964	14057	
1278322017205	29812	29463	29953	14049	
1278322017306	29795	29471	29943	14047	
1278322017406	29799	29468	29958	14060	
1278322017507	29795	29470	29959	14046	
1278322017607	29806	29473	29968	14049	
1278322017708	29793	29479	29955	14051	
1278322017809	29809	29463	29951	14052	
1278322017909	29799	29468	29966	14064	
1278322018010	29799	29467	29964	14056	
1278322018111	29783	29468	29952	14046	
1278322018211	29804	29473	29968	14051	
1278322018312	29793	29478	29943	14055	
1278322018412	29793	29479	29951	14053	
1278322018513	29816	29479	29947	14055	
1278322018614	29799	29470	29959	14047	
1278322018714	29793	29479	29951	14055	
1278322018815	29806	29475	29960	14049	
1278322018915	29795	29470	29959	14060	
1278322019016	29806	29473	29976	14049	
1278322019116	29799	29468	29964	14056	
1278322019216	29790	29473	29966	14056	
1278322019316	29806	29478	29977	14055	
1278322019416	29816	29475	29955	14055	
1278322019516	29799	29470	29959	14056	
1278322019616	29795	29468	29964	14057	
1278322019716	29797	29479	29951	14055	
1278322019816	29808	29475	29947	14055	
1278322019916	29793	29476	29951	14055	
1278322020016	29791	29472	29964	14049	
1278322020116	29804	29473	29953	14051	
1278322020216	29816	29475	29968	14055	
1278322020316	29808	29479	29943	14055	
1278322020417	29806	29473	29976	14057	
1278322020518	29795	29470	29959	14052	
1278322020618	29799	29470	29957	14060	
1278322020719	29820	29475	29969	14059	
1278322020819	29795	29484	29951	14062	
1278322020920	29816	29479	29951	14055	
1278322021021	29793	29473	29955	14051	
1278322021121	29795	29478	29951	14055	
1278322021222	29791	29472	29964	14049	
1278322021322	29816	29479	29968	14055	
1278322021423	29790	29473	29964	14057	
1278322021523	29793	29475	29951	14051	
1278322021623	29808	29475	29951	14055	
1278322021723	29804	29475	29969	14051	
1278322021823	29793	29468	29966	14064	
1278322021923	29795	29454	29959	14052	
1278322022023	29790	29480	29972	14057	
1278322022123	29816	29475	29969	14055	
1278322022224	29804	29475	29968	14057	
1278322022325	29794	29468	29966	14064	
1278322022425	29793	29468	29966	14056	
1278322022526	29800	29475	29953	14060	
1278322022626	29795	29468	29966	14064	
1278322022727	29808	29475	29957	14058	
1278322022828	29795	29470	29959	14062	
1278322022928	29799	29468	29966	14060	
1278322023029	29799	29468	29960	14060	
1278322023129	29808	29455	29959	14063	
1278322023230	29806	29473	29964	14057	
1278322023330	29795	29470	29955	14070	
1278322023430	29804	29475	29968	14051	
1278322023530	29790	29473	29964	14065	
1278322023630	29816	29475	29953	14063	
1278322023730	29790	29473	29972	14057	
1278322023830	29806	29473	29968	14051	
1278322023930	29795	29470	29951	14055	
1278322024030	29795	29470	29959	14062	
1278322024131	29795	29474	29951	14062	
1278322024231	29804	29473	29960	14057	
1278322024332	29791	29464	29964	14057	
1278322024433	29808	29473	29943	14055	
1278322024533	29806	29473	29968	14057	
1278322024634	29806	29473	29976	14059	
1278322024734	29808	29474	29943	14054	
1278322024835	29793	29477	29951	14055	
1278322024935	29806	29473	29976	14056	
1278322025036	29804	29473	29976	14057	
1278322025137	29795	29479	29951	14054	
1278322025237	29802	29472	29964	14064	
1278322025338	29804	29473	29968	14064	
1278322025438	29808	29471	29951	14063	
1278322025539	29795	29468	29966	14057	
1278322025639	29806	29473	29976	14049	
1278322025740	29806	29472	29972	14053	
1278322025841	29790	29473	29980	14057	
1278322025942	29804	29475	29968	14055	
1278322026042	29791	29473	29968	14059	
1278322026142	29804	29475	29976	14059	
1278322026243	29800	29475	29968	14057	
1278322026343	29799	29468	29966	14064	
1278322026443	29793	29472	29959	14062	
1278322026543	29793	29473	29968	14055	
1278322026643	29793	29470	29943	14063	
1278322026743	29795	29470	29955	14062	
1278322026843	29799	29468	29962	14068	
1278322026943	29799	29470	29966	14063	
1278322027043	29799	29468	29966	14064	
1278322027143	29806	29472	29976	14064	
1278322027243	29795	29470	29943	14062	
1278322027343	29795	29470	29959	14062	
1278322027443	29799	29468	29966	14064	
1278322027543	29795	29455	29954	14058	
1278322027643	29798	29488	29966	14064	
1278322027743	29795	29470	29961	14070	
