-1.000000 0.050200 0.254800  0.280000 0.504000 0.808000
-1.000000 0.061400 0.243900  0.248000 0.608000 0.744000
-0.973900 0.050200 0.243900  0.312000 0.448000 0.832000
-1.000000 0.100400 0.207000  0.040000 0.608000 0.784000
-0.950000 0.050200 0.232900  0.312000 0.424000 0.840000
-0.950000 0.100400 0.204500  0.176000 0.504000 0.840000
-0.900000 0.050200 0.202100  0.368000 0.256000 0.888000
-0.900000 0.100400 0.184100  0.296000 0.408000 0.856000
-0.865600 0.050200 0.182900  0.480000 0.256000 0.832000
-0.897500 0.100400 0.182900  0.392000 0.408000 0.816000
-0.850000 0.050200 0.170400  0.488000 0.296000 0.816000
-0.850000 0.100400 0.150400  0.488000 0.512000 0.696000
-0.800000 0.050200 0.139800  0.504000 0.392000 0.760000
-0.820700 0.100400 0.121900  0.496000 0.488000 0.704000
-0.800000 0.077200 0.121900  0.512000 0.416000 0.744000
-0.800000 0.100400 0.105500  0.480000 0.456000 0.736000
-0.781300 0.050200 0.121900  0.536000 0.400000 0.736000
-0.750000 0.100400 0.065100  0.488000 0.448000 0.736000
-0.750000 0.050200 0.097600  0.464000 0.408000 0.776000
-0.744800 0.100400 0.060900  0.496000 0.456000 0.728000
-0.700000 0.050200 0.061900  0.536000 0.368000 0.752000
-0.700000 0.051600 0.060900  0.528000 0.416000 0.728000
-0.699000 0.050200 0.060900  0.608000 0.360000 0.696000
-0.700000 0.100400 0.019100  0.504000 0.504000 0.688000
-0.650000 0.050200 0.008200  0.568000 0.384000 0.720000
-0.680200 0.100400 0.000000  0.600000 0.440000 0.656000
-0.650000 0.063100 0.000000  0.592000 0.392000 0.696000
-0.650000 0.100400 -0.043200  0.600000 0.608000 0.496000
-0.641800 0.050200 0.000000  0.616000 0.400000 0.664000
-0.638000 0.100400 -0.060900  0.672000 0.632000 0.368000
-0.600000 0.050200 -0.054100  0.640000 0.448000 0.616000
-0.600000 0.057600 -0.060900  0.728000 0.536000 0.408000
-0.594700 0.050200 -0.060900  0.744000 0.504000 0.416000
-0.600000 0.050200 -0.083400  0.800000 0.528000 -0.248000
-0.573200 0.000000 -0.060900  0.920000 0.296000 -0.248000
-0.600000 0.000000 -0.117700  0.848000 0.200000 -0.488000
-0.554400 -0.050200 -0.060900  0.944000 0.280000 0.128000
-0.600000 -0.008200 -0.121900  0.848000 0.208000 -0.472000
-0.586600 -0.050200 -0.121900  0.872000 0.224000 -0.424000
-0.600000 -0.050200 -0.162700  0.904000 0.232000 -0.344000
-0.578300 -0.100400 -0.121900  0.848000 0.312000 -0.424000
-0.600000 -0.077900 -0.182900  0.856000 0.208000 -0.464000
-0.594100 -0.100400 -0.182900  0.816000 0.296000 -0.480000
-0.600000 -0.100400 -0.193800  0.776000 0.296000 -0.544000
-0.561800 -0.150600 -0.182900  0.544000 0.784000 -0.280000
-0.600000 -0.150600 -0.229400  0.416000 0.744000 -0.512000
-0.550000 -0.155500 -0.182900  0.296000 0.920000 -0.232000
-0.600000 -0.160400 -0.243900  0.432000 0.688000 -0.576000
-0.550000 -0.172700 -0.243900  0.008000 0.856000 -0.512000
-0.600000 -0.200800 -0.299500  0.000000 0.872000 -0.480000
-0.550000 -0.200800 -0.303600  -0.040000 0.880000 -0.464000
-0.600000 -0.203400 -0.304800  0.008000 0.768000 -0.632000
-0.550000 -0.201300 -0.304800  -0.032000 0.864000 -0.488000
-0.600000 -0.251000 -0.360600  -0.120000 0.624000 -0.760000
-0.550000 -0.245600 -0.365800  -0.104000 0.680000 -0.720000
-0.576800 -0.251000 -0.365800  -0.136000 0.624000 -0.760000
-0.550000 -0.251000 -0.371400  -0.120000 0.616000 -0.768000
-0.600000 -0.256300 -0.365800  -0.112000 0.608000 -0.776000
-0.550000 -0.301200 -0.401000  0.000000 0.424000 -0.904000
-0.600000 -0.301200 -0.399100  0.008000 0.480000 -0.872000
-0.550000 -0.349500 -0.426800  0.056000 0.416000 -0.904000
-0.600000 -0.340300 -0.426800  0.032000 0.512000 -0.848000
-0.600000 -0.301200 -0.399100  0.008000 0.480000 -0.872000
-0.650000 -0.337200 -0.426800  0.016000 0.520000 -0.848000
-0.650000 -0.301200 -0.398600  0.000000 0.528000 -0.840000
-0.700000 -0.338200 -0.426800  -0.192000 0.592000 -0.776000
-0.700000 -0.301200 -0.401600  0.016000 0.504000 -0.856000
-0.736800 -0.351500 -0.426800  -0.240000 0.480000 -0.832000
-0.750000 -0.301200 -0.392900  -0.104000 0.352000 -0.928000
-0.750000 -0.351500 -0.422100  -0.312000 0.448000 -0.824000
-0.800000 -0.301200 -0.380800  -0.264000 0.104000 -0.952000
-0.800000 -0.351500 -0.388300  -0.664000 -0.152000 -0.728000
-0.826000 -0.301200 -0.365800  -0.648000 -0.448000 -0.600000
-0.812200 -0.351500 -0.365800  -0.856000 -0.296000 -0.408000
-0.850000 -0.301200 -0.321900  -0.728000 -0.616000 -0.280000
-0.821000 -0.351500 -0.304800  -0.824000 -0.504000 0.232000
-0.850000 -0.306900 -0.304800  -0.768000 -0.624000 0.072000
-0.807300 -0.351500 -0.243900  -0.864000 -0.472000 0.152000
-0.850000 -0.301200 -0.293400  -0.744000 -0.560000 0.336000
-0.834700 -0.301200 -0.243900  -0.840000 -0.504000 0.184000
-0.850000 -0.276800 -0.243900  -0.792000 -0.552000 0.248000
-0.831100 -0.301200 -0.182900  -0.848000 -0.520000 0.016000
-0.850000 -0.271300 -0.182900  -0.816000 -0.568000 0.032000
-0.832400 -0.301200 -0.121900  -0.840000 -0.528000 0.048000
-0.850000 -0.274400 -0.121900  -0.816000 -0.568000 0.008000
-0.826600 -0.301200 -0.060900  -0.824000 -0.544000 0.120000
-0.850000 -0.265600 -0.060900  -0.808000 -0.568000 0.104000
-0.817700 -0.301200 0.000000  -0.808000 -0.560000 0.168000
-0.850000 -0.254700 0.000000  -0.800000 -0.568000 0.168000
-0.805900 -0.301200 0.060900  -0.800000 -0.536000 0.232000
-0.850000 -0.251000 0.014600  -0.800000 -0.560000 0.176000
-0.838400 -0.251000 0.060900  -0.808000 -0.528000 0.248000
-0.850000 -0.233200 0.060900  -0.816000 -0.512000 0.248000
-0.819200 -0.251000 0.121900  -0.760000 -0.496000 0.400000
-0.850000 -0.203500 0.121900  -0.792000 -0.528000 0.288000
-0.800000 -0.251000 0.157900  -0.576000 -0.400000 0.696000
-0.850000 -0.200800 0.125700  -0.776000 -0.360000 0.504000
-0.800000 -0.206500 0.182900  -0.304000 -0.264000 0.912000
-0.803100 -0.200800 0.182900  -0.456000 -0.168000 0.864000
-0.800000 -0.200800 0.184500  -0.256000 -0.128000 0.952000
-0.836800 -0.150600 0.182900  -0.304000 -0.304000 0.896000
-0.800000 -0.150600 0.189500  -0.240000 -0.056000 0.960000
-0.850000 -0.137400 0.182900  -0.304000 -0.312000 0.896000
-0.800000 -0.100400 0.186900  0.104000 0.048000 0.992000
-0.850000 -0.100400 0.192600  -0.136000 -0.312000 0.936000
-0.800000 -0.063400 0.182900  0.240000 0.160000 0.952000
-0.850000 -0.050200 0.193400  0.200000 0.072000 0.968000
-0.809300 -0.050200 0.182900  0.232000 0.160000 0.952000
-0.850000 0.000000 0.186200  0.256000 0.144000 0.952000
-0.839600 0.000000 0.182900  0.264000 0.152000 0.944000
-0.850000 0.016800 0.182900  0.328000 0.184000 0.920000
-0.800000 0.000000 0.163200  0.400000 0.288000 0.864000
-0.850000 0.050200 0.170400  0.488000 0.296000 0.816000
-0.800000 0.050200 0.139800  0.504000 0.392000 0.760000
-0.800000 0.000000 0.163200  0.400000 0.288000 0.864000
-0.781300 0.050200 0.121900  0.536000 0.400000 0.736000
-0.750000 0.000000 0.129400  0.496000 0.360000 0.776000
-0.750000 0.012900 0.121900  0.496000 0.384000 0.768000
-0.740500 0.000000 0.121900  0.504000 0.352000 0.784000
-0.750000 0.050200 0.097600  0.464000 0.408000 0.776000
-0.700000 0.000000 0.089700  0.584000 0.336000 0.736000
-0.700000 0.050200 0.061900  0.536000 0.368000 0.752000
-0.666100 0.000000 0.060900  0.560000 0.376000 0.728000
-0.699000 0.050200 0.060900  0.608000 0.360000 0.696000
-0.650000 0.000000 0.045200  0.576000 0.400000 0.704000
-0.650000 0.050200 0.008200  0.568000 0.384000 0.720000
-0.609800 0.000000 0.000000  0.696000 0.384000 0.592000
-0.641800 0.050200 0.000000  0.616000 0.400000 0.664000
-0.600000 0.000000 -0.017800  0.736000 0.384000 0.544000
-0.600000 0.050200 -0.054100  0.640000 0.448000 0.616000
-0.573200 0.000000 -0.060900  0.920000 0.296000 -0.248000
-0.594700 0.050200 -0.060900  0.744000 0.504000 0.416000
-0.594700 0.050200 -0.060900  0.744000 0.504000 0.416000
-1.000000 0.050200 0.254800  0.280000 0.504000 0.808000
-1.000000 0.050200 0.254800  0.280000 0.504000 0.808000
-1.000000 0.000000 0.260200  0.424000 -0.312000 0.840000
-0.973900 0.050200 0.243900  0.312000 0.448000 0.832000
-0.976100 0.000000 0.243900  0.464000 -0.432000 0.768000
-0.950000 0.050200 0.232900  0.312000 0.424000 0.840000
-0.950000 0.000000 0.224500  0.344000 -0.144000 0.920000
-0.900000 0.050200 0.202100  0.368000 0.256000 0.888000
-0.900000 0.000000 0.204000  0.296000 0.088000 0.944000
-0.865600 0.050200 0.182900  0.480000 0.256000 0.832000
-0.850000 0.000000 0.186200  0.256000 0.144000 0.952000
-0.850000 0.016800 0.182900  0.328000 0.184000 0.920000
-0.865600 0.050200 0.182900  0.480000 0.256000 0.832000
-0.850000 0.050200 0.170400  0.488000 0.296000 0.816000
-0.850000 0.050200 0.170400  0.488000 0.296000 0.816000
-1.000000 0.000000 0.260200  0.424000 -0.312000 0.840000
-1.000000 0.000000 0.260200  0.424000 -0.312000 0.840000
-0.976100 0.000000 0.243900  0.464000 -0.432000 0.768000
-1.000000 -0.016700 0.243900  0.424000 -0.608000 0.656000
-0.950000 0.000000 0.224500  0.344000 -0.144000 0.920000
-1.000000 -0.050200 0.185900  -0.256000 -0.768000 0.576000
-0.950000 -0.050200 0.212200  0.160000 -0.384000 0.904000
-1.000000 -0.052000 0.182900  -0.336000 -0.760000 0.544000
-0.950000 -0.074300 0.182900  -0.344000 -0.776000 0.520000
-1.000000 -0.075600 0.121900  -0.328000 -0.896000 0.264000
-0.950000 -0.095300 0.121900  -0.400000 -0.864000 0.280000
-1.000000 -0.090800 0.060900  -0.320000 -0.912000 0.248000
-0.950000 -0.100400 0.101700  -0.400000 -0.872000 0.264000
-0.973400 -0.100400 0.060900  -0.344000 -0.904000 0.240000
-0.950000 -0.110600 0.060900  -0.432000 -0.856000 0.248000
-1.000000 -0.100400 0.014600  -0.304000 -0.920000 0.208000
-0.950000 -0.123700 0.000000  -0.488000 -0.840000 0.216000
-1.000000 -0.103100 0.000000  -0.304000 -0.920000 0.208000
-0.950000 -0.136200 -0.060900  -0.528000 -0.832000 0.152000
-1.000000 -0.112800 -0.060900  -0.376000 -0.912000 0.144000
-0.950000 -0.144800 -0.121900  -0.536000 -0.832000 0.120000
-1.000000 -0.120900 -0.121900  -0.400000 -0.904000 0.136000
-0.950000 -0.150600 -0.169000  -0.584000 -0.792000 0.136000
-1.000000 -0.129600 -0.182900  -0.400000 -0.904000 0.136000
-0.952800 -0.150600 -0.182900  -0.568000 -0.808000 0.136000
-1.000000 -0.135800 -0.243900  -0.400000 -0.904000 0.096000
-0.966700 -0.150600 -0.243900  -0.472000 -0.864000 0.152000
-1.000000 -0.142300 -0.304800  -0.328000 -0.456000 -0.824000
-0.989000 -0.150600 -0.304800  -0.440000 -0.624000 -0.640000
-1.000000 -0.100400 -0.332000  -0.256000 -0.392000 -0.880000
-0.950000 -0.150600 -0.330800  -0.416000 -0.432000 -0.792000
-0.950000 -0.100400 -0.349400  -0.088000 -0.160000 -0.976000
-0.900000 -0.150600 -0.338300  -0.216000 -0.104000 -0.968000
-0.900000 -0.100400 -0.346700  0.112000 -0.048000 -0.984000
-0.850000 -0.150600 -0.349400  0.072000 0.056000 -0.992000
-0.850000 -0.100400 -0.332400  0.280000 0.112000 -0.952000
-0.800000 -0.150600 -0.340500  0.312000 0.288000 -0.896000
-0.800000 -0.100400 -0.313000  0.368000 0.216000 -0.896000
-0.750000 -0.150600 -0.317800  0.416000 0.384000 -0.816000
-0.785000 -0.100400 -0.304800  0.328000 0.224000 -0.912000
-0.750000 -0.129200 -0.304800  0.392000 0.376000 -0.832000
-0.750000 -0.100400 -0.291100  0.336000 0.256000 -0.896000
-0.731900 -0.150600 -0.304800  0.424000 0.400000 -0.808000
-0.700000 -0.100400 -0.274700  0.392000 0.112000 -0.904000
-0.700000 -0.150600 -0.284500  0.376000 0.392000 -0.832000
-0.650000 -0.100400 -0.251900  0.448000 0.224000 -0.856000
-0.650000 -0.150600 -0.267500  0.376000 0.464000 -0.792000
-0.638400 -0.100400 -0.243900  0.560000 0.160000 -0.808000
-0.612700 -0.150600 -0.243900  0.496000 0.576000 -0.640000
-0.600000 -0.100400 -0.193800  0.776000 0.296000 -0.544000
-0.600000 -0.150600 -0.229400  0.416000 0.744000 -0.512000
-0.612700 -0.150600 -0.243900  0.496000 0.576000 -0.640000
-0.600000 -0.160400 -0.243900  0.432000 0.688000 -0.576000
-0.650000 -0.150600 -0.267500  0.376000 0.464000 -0.792000
-0.600000 -0.200800 -0.299500  0.000000 0.872000 -0.480000
-0.650000 -0.200800 -0.303800  0.136000 0.680000 -0.712000
-0.600000 -0.203400 -0.304800  0.008000 0.768000 -0.632000
-0.650000 -0.201600 -0.304800  0.104000 0.688000 -0.704000
-0.600000 -0.251000 -0.360600  -0.120000 0.624000 -0.760000
-0.650000 -0.251000 -0.354800  0.152000 0.632000 -0.752000
-0.600000 -0.256300 -0.365800  -0.112000 0.608000 -0.776000
-0.650000 -0.261300 -0.365800  0.088000 0.568000 -0.808000
-0.600000 -0.301200 -0.399100  0.008000 0.480000 -0.872000
-0.650000 -0.301200 -0.398600  0.000000 0.528000 -0.840000
-0.650000 -0.261300 -0.365800  0.088000 0.568000 -0.808000
-0.700000 -0.301200 -0.401600  0.016000 0.504000 -0.856000
-0.700000 -0.252100 -0.365800  0.096000 0.552000 -0.824000
-0.750000 -0.301200 -0.392900  -0.104000 0.352000 -0.928000
-0.707800 -0.251000 -0.365800  0.064000 0.432000 -0.896000
-0.750000 -0.251000 -0.369800  0.056000 0.280000 -0.952000
-0.750000 -0.240500 -0.365800  0.056000 0.272000 -0.952000
-0.800000 -0.251000 -0.370300  -0.064000 0.200000 -0.976000
-0.800000 -0.234100 -0.365800  -0.112000 0.264000 -0.952000
-0.828000 -0.251000 -0.365800  -0.248000 0.216000 -0.936000
-0.800000 -0.200800 -0.355700  0.080000 0.256000 -0.960000
-0.850000 -0.251000 -0.359600  -0.320000 0.248000 -0.912000
-0.850000 -0.200800 -0.351200  -0.168000 0.112000 -0.976000
-0.891700 -0.251000 -0.304800  -0.808000 -0.512000 -0.264000
-0.900000 -0.200800 -0.331500  -0.576000 -0.328000 -0.736000
-0.900000 -0.236500 -0.304800  -0.680000 -0.456000 -0.560000
-0.931500 -0.200800 -0.304800  -0.648000 -0.520000 -0.544000
-0.900000 -0.212400 -0.243900  -0.672000 -0.712000 0.176000
-0.914100 -0.200800 -0.243900  -0.664000 -0.728000 0.128000
-0.900000 -0.206900 -0.182900  -0.648000 -0.752000 0.056000
-0.907400 -0.200800 -0.182900  -0.688000 -0.712000 0.072000
-0.900000 -0.204500 -0.121900  -0.688000 -0.712000 0.104000
-0.903800 -0.200800 -0.121900  -0.696000 -0.704000 0.120000
-0.900000 -0.200800 -0.096200  -0.752000 -0.632000 0.128000
-0.943100 -0.150600 -0.121900  -0.672000 -0.720000 0.120000
-0.900000 -0.192500 -0.060900  -0.856000 -0.488000 0.144000
-0.932400 -0.150600 -0.060900  -0.688000 -0.696000 0.176000
-0.900000 -0.169600 0.000000  -0.800000 -0.552000 0.224000
-0.915700 -0.150600 0.000000  -0.696000 -0.672000 0.232000
-0.900000 -0.150600 0.057700  -0.744000 -0.616000 0.232000
-0.950000 -0.123700 0.000000  -0.488000 -0.840000 0.216000
