unix_timestamp	int_pos.x	int_pos.y	int_pos.z	pos.x	pos.y	pos.z	pos_sp.x	pos_sp.y	pos_sp.z	
1278347368332	 	 	 	1.64111	0.568606	-0.707413	 	 	 	
1278347368333	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347368382	 	 	 	1.60725	0.584891	-0.706536	 	 	 	
1278347368383	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347368411	3.03022	-4.62095	-0.46902	1.59238	0.5873	-0.707871	1.66	0.55	-0.7	
1278347368433	 	 	 	1.59788	0.590511	-0.705138	 	 	 	
1278347368434	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347368484	 	 	 	1.60219	0.59519	-0.699957	1.66	0.55	-0.7	
1278347368534	 	 	 	1.59444	0.599821	-0.696274	1.66	0.55	-0.7	
1278347368685	 	 	 	1.53303	0.604393	-0.687772	1.66	0.55	-0.7	
1278347368735	 	 	 	1.5471	0.619357	-0.681598	 	 	 	
1278347368736	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347368786	 	 	 	1.54857	0.629914	-0.677514	1.66	0.55	-0.7	
1278347368812	3.06516	-4.64322	-0.472544	1.55042	0.637374	-0.67582	1.66	0.55	-0.7	
1278347368836	 	 	 	1.54902	0.642045	-0.673999	1.66	0.55	-0.7	
1278347368886	 	 	 	1.55563	0.660175	-0.671507	 	 	 	
1278347368887	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347368937	 	 	 	1.53441	0.716358	-0.671497	1.66	0.55	-0.7	
1278347368987	 	 	 	1.53327	0.716379	-0.67605	 	 	 	
1278347368988	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347369011	 	 	 	1.53156	0.722947	-0.676143	1.66	0.55	-0.7	
1278347369012	3.08833	-4.66976	-0.477901	 	 	 	 	 	 	
1278347369037	 	 	 	1.53712	0.719119	-0.678443	 	 	 	
1278347369038	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347369087	 	 	 	1.54588	0.715734	-0.683818	 	 	 	
1278347369088	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347369137	 	 	 	1.55394	0.726113	-0.68843	 	 	 	
1278347369138	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347369187	 	 	 	1.55985	0.73805	-0.691815	 	 	 	
1278347369188	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347369211	 	 	 	1.55737	0.73853	-0.694484	1.66	0.55	-0.7	
1278347369212	3.11064	-4.70465	-0.48075	 	 	 	 	 	 	
1278347369237	 	 	 	1.55888	0.742384	-0.696348	 	 	 	
1278347369287	 	 	 	1.55694	0.757089	-0.696805	 	 	 	
1278347369288	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347369337	 	 	 	1.57837	0.81075	-0.686526	 	 	 	
1278347369338	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347369387	 	 	 	1.60441	0.848989	-0.684435	 	 	 	
1278347369388	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347369412	 	 	 	1.61164	0.86271	-0.683581	 	 	 	
1278347369413	3.128	-4.75334	-0.482677	 	 	 	1.66	0.55	-0.7	
1278347369437	 	 	 	1.61602	0.854154	-0.684952	 	 	 	
1278347369438	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347369488	 	 	 	1.62093	0.850096	-0.68486	1.66	0.55	-0.7	
1278347369538	 	 	 	1.6309	0.854631	-0.684847	 	 	 	
1278347369539	 	 	 	 	 	 	1.66	0.55	-0.7	
1278347369589	 	 	 	1.63914	0.861754	-0.684661	1.66	0.55	-0.7	
1278347369612	 	 	 	1.64424	0.864382	-0.685154	1.66	0.55	-0.7	
1278347369613	3.13455	-4.81429	-0.485655	 	 	 	 	 	 	
1278347369639	 	 	 	1.64963	0.871191	-0.685119	1.66	0.55	-0.7	
1278347369689	 	 	 	1.66084	0.882831	-0.684983	1.66	0.55	-0.7	
1278347369739	 	 	 	1.67363	0.890633	-0.686786	1.66	0.55	-0.7	
1278347369789	 	 	 	1.69013	0.897397	-0.688562	1.66	0.55	-0.7	
1278347369813	 	 	 	1.69975	0.897946	-0.69021	1.66	0.55	-0.7	
1278347369814	3.13268	-4.8812	-0.488333	 	 	 	 	 	 	
1278347369839	 	 	 	1.73966	0.895863	-0.696169	1.66	0.55	-0.7	
1278347369889	 	 	 	1.76577	0.900953	-0.699457	1.66	0.55	-0.7	
1278347369939	 	 	 	1.74882	0.911527	-0.694489	1.66	0.55	-0.7	
1278347369989	 	 	 	1.75881	0.915012	-0.695374	1.66	0.55	-0.7	
1278347370013	 	 	 	1.76638	0.924463	-0.694556	1.66	0.55	-0.7	
1278347370014	3.114	-4.95251	-0.489078	 	 	 	 	 	 	
1278347370039	 	 	 	1.7745	0.936597	-0.693148	1.66	0.55	-0.7	
1278347370089	 	 	 	1.78438	0.936208	-0.692202	1.66	0.55	-0.7	
1278347370139	 	 	 	1.79071	0.928978	-0.689402	1.66	0.55	-0.7	
1278347370189	 	 	 	1.79659	0.925464	-0.687427	1.66	0.55	-0.7	
1278347370213	 	 	 	1.79986	0.925285	-0.686793	1.66	0.55	-0.7	
1278347370214	3.08861	-5	-0.490933	 	 	 	 	 	 	
1278347370239	 	 	 	1.80194	0.923254	-0.685703	1.66	0.55	-0.7	
1278347370289	 	 	 	1.80829	0.9212	-0.684453	1.66	0.55	-0.7	
1278347370339	 	 	 	1.81236	0.91495	-0.685943	1.66	0.55	-0.7	
1278347370389	 	 	 	1.81127	0.902417	-0.689436	1.66	0.55	-0.7	
1278347370413	 	 	 	1.80664	0.887885	-0.698611	1.66	0.55	-0.7	
