unix_timestamp	Gyro_Phi	Gyro_Psi	Gyro_Theta	Mag._X	
1278327885627	29655	29196	29630	13599	
1278327885727	29827	29475	29934	13649	
1278327885828	30039	29678	30030	13688	
1278327885928	29854	29795	30137	13527	
1278327886029	29871	29224	29966	13598	
1278327886129	29704	29747	29800	13507	
1278327886230	29580	30016	29784	13571	
1278327886331	29916	29203	29841	13588	
1278327886431	29895	29404	29948	13632	
1278327886532	29935	29840	29790	13528	
1278327886632	30110	29559	30220	13654	
1278327886733	29727	29113	30124	13569	
1278327886833	29998	29521	30028	13648	
1278327886934	29635	29444	29634	13624	
1278327887035	29801	29054	29712	13558	
1278327887135	29852	28972	29815	13544	
1278327887236	29711	29656	30060	13657	
1278327887337	30112	29340	30095	13608	
1278327887437	29785	28859	29697	13514	
1278327887538	29966	29649	30265	13651	
1278327887638	29806	29457	30028	13615	
1278327887739	29807	29304	29870	13601	
1278327887840	29943	29128	29580	13564	
1278327887940	29786	29683	29872	13658	
1278327888041	30159	29598	30286	13638	
1278327888141	29703	29144	29679	13568	
1278327888242	29919	29539	29936	13627	
1278327888343	29920	29742	30087	13492	
1278327888443	30009	29774	30071	13500	
1278327888544	29959	29036	29935	13532	
1278327888645	29596	29700	29889	13479	
1278327888745	30000	29824	30180	13502	
1278327888846	29804	29521	29829	13617	
1278327888946	29859	29080	29743	13544	
1278327889047	29832	29392	30040	13601	
1278327889147	29799	29872	30062	13512	
1278327889248	30013	29231	30019	13575	
1278327889348	29863	29104	29768	13544	
1278327889449	29863	29724	30126	13473	
1278327889549	29849	29647	29683	13640	
1278327889650	29801	29102	29879	13548	
1278327889750	29823	29229	29998	13568	
1278327889851	29665	29919	29935	13518	
1278327889952	30077	29287	29939	13566	
1278327890052	29903	29281	30062	13569	
1278327890153	29859	29457	29916	13593	
1278327890253	29788	29815	29904	13483	
1278327890354	29912	29187	29992	13539	
1278327890454	29855	29201	29660	13552	
1278327890555	29937	29866	30179	13502	
1278327890656	29635	29500	29527	13608	
1278327890756	29904	29319	30001	13567	
1278327890857	29656	29615	29947	13615	
1278327890957	29591	29808	29580	13481	
1278327891058	30003	29228	30087	13548	
1278327891159	29903	29392	30094	13584	
1278327891259	29919	29702	29921	13447	
1278327891360	29911	29676	30174	13628	
1278327891460	29919	29335	29900	13569	
1278327891561	29751	29822	29903	13488	
1278327891661	29857	29724	30119	13454	
1278327891762	29809	28996	30114	13508	
1278327891862	29872	29420	29711	13581	
1278327891963	29987	29552	30080	13601	
1278327892063	29855	29759	30172	13465	
1278327892164	29913	29102	29699	13526	
