unix_timestamp	Gyro_Phi	Gyro_Psi	Gyro_Theta	Mag._X	
1278327938985	29775	29457	29936	13584	
1278327939086	29836	29555	30013	13591	
1278327939187	29848	29575	29927	13603	
1278327939287	29887	29553	29964	13601	
1278327939388	29923	29532	29927	13592	
1278327939488	29840	29447	29921	13575	
1278327939589	29904	29444	29831	13580	
1278327939690	29839	29393	29932	13569	
1278327939791	29795	29484	30026	13584	
1278327939891	29800	29603	29968	13603	
1278327939992	29836	29459	29960	13571	
1278327940092	29904	29511	29922	13590	
1278327940193	29870	29470	29960	13582	
1278327940294	29976	29399	29945	13567	
1278327940394	29912	29455	29843	13575	
1278327940495	29857	29510	29904	13575	
1278327940596	29871	29537	29964	13592	
1278327940696	29740	29459	29896	13563	
1278327940797	29844	29496	29953	13584	
1278327940898	29863	29648	29966	13603	
1278327941099	29985	29327	29907	13558	
1278327941200	29944	29408	29921	13559	
1278327941300	29798	29539	29952	13584	
1278327941400	29843	29516	29959	13583	
1278327941500	29856	29616	29967	13601	
1278327941600	29756	29523	29916	13586	
1278327941700	29960	29376	29969	13542	
1278327941800	29934	29509	29964	13577	
1278327941900	29854	29617	30008	13587	
1278327942000	29936	29454	29927	13564	
1278327942101	29819	29406	29921	13564	
1278327942202	29806	29521	29928	13571	
1278327942302	29875	29532	29967	13580	
1278327942403	29824	29435	29880	13561	
1278327942504	29937	29550	29991	13583	
1278327942604	29904	29576	29927	13574	
1278327942705	29852	29475	29904	13563	
1278327942805	29918	29491	29960	13567	
1278327942906	29854	29537	29932	13577	
1278327943006	29784	29532	29923	13567	
1278327943107	29815	29391	29930	13560	
1278327943208	29839	29416	29916	13553	
1278327943309	29884	29587	30008	13584	
1278327943409	29863	29660	30030	13597	
1278327943510	29831	29456	29916	13554	
1278327943610	29817	29550	29959	13582	
1278327943710	29895	29440	29982	13552	
1278327943810	29807	29464	29952	13561	
1278327943910	29807	29500	29934	13568	
1278327944010	29895	29502	29987	13559	
1278327944110	29827	29496	29894	13568	
1278327944211	29902	29521	29960	13568	
1278327944311	29904	29619	30000	13579	
1278327944412	29932	29527	29968	13572	
1278327944513	29951	29448	29934	13552	
1278327944613	29857	29551	29991	13578	
1278327944713	29757	29471	29879	13559	
1278327944813	29799	29392	29902	13545	
1278327944913	29823	29504	29939	13558	
1278327945013	29839	29603	30000	13575	
1278327945113	29919	29584	30028	13569	
1278327945214	29958	29425	29916	13539	
1278327945315	29945	29388	29927	13543	
1278327945415	29916	29457	29982	13545	
1278327945515	29832	29455	29907	13551	
1278327945615	29799	29425	29902	13547	
1278327945715	29891	29486	29923	13556	
1278327945815	29824	29523	29960	13559	
1278327946015	29985	29446	29968	13548	
1278327946115	29854	29477	29871	13553	
1278327946215	29823	29488	29916	13547	
1278327946315	29819	29532	29927	13560	
1278327946415	29841	29518	29951	13556	
1278327946515	29841	29454	29939	13543	
1278327946615	29884	29639	29969	13580	
1278327946715	29856	29551	29943	13572	
1278327946815	29902	29427	29976	13545	
1278327946915	29891	29436	29903	13544	
1278327947015	29889	29470	29951	13544	
1278327947116	29960	29543	29987	13559	
1278327947216	29839	29432	29932	13545	
1278327947316	29793	29464	29964	13537	
1278327947416	29826	29537	30012	13561	
1278327947516	29841	29580	29934	13564	
1278327947616	29815	29521	29964	13553	
1278327947716	29966	29459	29977	13543	
1278327947816	29944	29457	29904	13539	
1278327947916	29872	29487	29922	13550	
1278327948017	29964	29559	29977	13559	
1278327948118	29854	29537	29916	13555	
1278327948218	29795	29423	29932	13544	
1278327948319	29799	29448	29916	13552	
1278327948420	29774	29473	29952	13539	
1278327948521	29829	29516	29991	13561	
1278327948621	29839	29523	29956	13545	
1278327948722	29873	29502	29943	13548	
1278327948823	29968	29519	29987	13558	
1278327948923	29968	29475	29921	13543	
1278327949024	29936	29487	29927	13543	
1278327949124	29923	29580	29967	13557	
1278327949225	29872	29512	29930	13548	
1278327949326	29824	29431	29937	13534	
1278327949427	29808	29433	29907	13542	
1278327949527	29783	29464	29951	13545	
1278327949628	29859	29544	29999	13544	
1278327949728	29832	29555	29976	13563	
1278327949929	29932	29507	29969	13543	
1278327950029	29911	29468	29879	13544	
1278327950129	29880	29384	29859	13526	
1278327950230	29848	29446	29939	13542	
1278327950330	29790	29493	29900	13539	
1278327950430	29807	29459	29944	13523	
1278327950530	29870	29435	29932	13536	
1278327950630	29868	29619	29937	13559	
1278327950730	29903	29539	29944	13543	
1278327950830	29944	29486	29943	13539	
1278327950930	29903	29507	29952	13547	
1278327951030	29895	29440	29966	13530	
1278327951130	29944	29455	29921	13537	
1278327951230	29868	29459	29889	13531	
1278327951331	29859	29484	29919	13539	
1278327951432	29891	29572	29934	13552	
1278327951532	29838	29459	29912	13537	
1278327951633	29775	29427	29912	13527	
1278327951734	29799	29488	29902	13534	
1278327951835	29758	29463	29937	13527	
1278327951936	29815	29532	30010	13545	
1278327952036	29832	29473	29939	13527	
1278327952137	29854	29475	29916	13537	
1278327952238	29912	29600	30001	13551	
1278327952338	29841	29638	29959	13563	
1278327952439	29884	29600	29921	13551	
1278327952540	29891	29484	29935	13529	
1278327952640	29905	29423	29955	13519	
1278327952741	30009	29516	30019	13540	
1278327952841	29928	29490	29944	13533	
1278327952942	29839	29408	29869	13513	
1278327953042	29953	29487	29939	13540	
1278327953143	29815	29500	29930	13544	
1278327953244	29823	29448	29902	13528	
1278327953344	29859	29452	29903	13524	
1278327953445	29747	29448	29952	13516	
1278327953545	29840	29508	29939	13534	
1278327953645	29927	29585	30028	13545	
1278327953745	29863	29580	29928	13544	
1278327953845	29891	29516	29935	13534	
1278327953945	29978	29523	29960	13539	
1278327954045	29921	29423	29927	13518	
1278327954146	29952	29468	29951	13524	
1278327954246	29907	29518	29923	13532	
1278327954347	29885	29470	29939	13526	
1278327954447	29919	29491	29913	13527	
1278327954548	29904	29498	29939	13526	
1278327954649	29875	29486	29968	13526	
1278327954750	29944	29452	29923	13516	
1278327954850	29859	29406	29923	13510	
1278327954951	29836	29520	29984	13523	
1278327955051	29875	29511	29945	13526	
1278327955151	29898	29681	30008	13555	
1278327955251	29811	29548	29935	13532	
1278327955351	29873	29496	29935	13520	
1278327955451	29900	29585	29980	13538	
1278327955551	29840	29519	29984	13524	
1278327955651	29918	29475	29960	13515	
1278327955751	29934	29520	29936	13523	
1278327955852	29904	29506	29937	13528	
1278327955953	29959	29475	29958	13518	
1278327956054	29912	29470	29923	13511	
1278327956154	29943	29464	29952	13513	
1278327956255	29971	29471	29967	13520	
1278327956356	29916	29431	29937	13519	
1278327956456	29952	29441	29923	13498	
1278327956557	29927	29564	29998	13535	
1278327956658	29885	29452	29891	13512	
1278327956758	29873	29377	29895	13491	
1278327956859	29862	29553	29996	13531	
1278327956959	29891	29486	29895	13518	
1278327957060	29873	29372	29863	13492	
1278327957161	29813	29572	29959	13522	
1278327957261	29916	29519	29905	13518	
1278327957362	29843	29400	29868	13496	
1278327957463	29838	29555	29983	13523	
1278327957563	29904	29455	29920	13512	
1278327957664	29895	29407	29894	13499	
1278327957765	29834	29587	29976	13523	
1278327957865	29918	29520	29944	13511	
1278327957966	29839	29425	29880	13495	
1278327958066	29868	29495	29985	13509	
1278327958167	29886	29409	29976	13499	
1278327958267	29831	29464	29839	13498	
1278327958368	29849	29493	29952	13513	
1278327958469	29859	29416	29935	13500	
